,Subject,date_published,review_text,type_of_traveller,seat_type,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,value_for_money,recommended
10,ethiopian-airlines,2021-01-17 00:05:00,"we bought souvenirs (2 ebon giraffes) that we planned to transport as carry-on luggage, like we did many times before on our trips to africa. we realise the items were slightly taller than carry-on limitations, but this was never a problem with other airlines in the past and other passengers had similar size souvenirs on board. at the check in counter, we were told that it is not possible to take the souvenirs on board and that we need to check them in. we told the employee that the items are very fragile and very expensive, he told us that the airline has separate containers for fragile items and that the souvenirs will not be damaged. we reluctantly agreed as we were not presented with any other options. on our arrival to milan, we could immediately see that the package was handled with extreme negligence! the package was ripped od several places and it was obvious that the items inside were broken on multiple places. now, they do not plan to make any effort to resolve the issue, even though the damage occurred solely because we followed their employee demands and assurances against our wishes.",Couple Leisure,Economy Class,February 2021,Neutral,Negative,Neutral,,Negative,,Negative,0
11,ethiopian-airlines,2021-01-30 00:01:00,"both flights were on time. the seats were in a 2-2-2 configuration, with no direct aisle access of window seats. plenty of legroom but no privacy due to the rather old seating. sufficient entertainment system with good amount of movies and music. no wifi at all on both flights because of the aircraft type (b787-8) crew was helpful and courteous at all times. food was average, probably because of the pandemic it was more like premium economy. all in all, i can say i had enjoyable flights with ethiopian.",Solo Leisure,Business Class,January 2021,Neutral,Positive,Neutral,Positive,Positive,,Neutral,1
12,ethiopian-airlines,2021-01-16 00:01:00,"given the circumstances this was a near-perfect flight. it was an a350 with the old-style side-by-side seating which, if there is nobody next to you, is probably better than the new seats. having slept on both within several days the old seemed more comfortable than the new. boarding was quick and painless and i was quickly served with a glass of (almost) chilled champagne. topping it up is always a nice touch. the cabin was very clean and the surfaces had clearly been wiped. the temperature was perfect throughout – warm enough for a good sleep. i opted for the fish and although it was served on a tray, it was on a dish with metal cutlery. it would have been nice to see a printed menu but i could understand why. the cabin and flight crew were meticulous in following covid rules and the toilets were kept spotless. one of the advantages of covid flying in near-empty business sections – and therefore less chance of being near a heavy snorer. there were occasionally bumpy patches but, unlike some airlines, the pilots did not resort to switching on the seat belt sign every time or leaving it on too long. there was really nothing that one could fault with this flight and, for the price and the timing, it offered excellent value for money. the only change the airline should make is offer business passengers free wifi.",Business,Business Class,January 2021,Positive,Positive,Positive,,Positive,,Positive,1
13,ethiopian-airlines,2021-01-15 00:01:00,having received an email from the airline telling me i had to arrive at the airport four hours before the flight i then waited an hour before staff arrived. they hadn’t a clue why we had received the email. business passengers go through a separate entrance which i suspect was slower than the normal route. two pleasant immigration officers spent an inordinate amount of time checking my exit form. the lounge was empty when i arrived except for the ethiopian crew gorging themselves. the lounge has pir-activated lights which kept on switching themselves off if no movement was detected. equally annoying were the continual announcements that the country had banned the use an import of plastic bags in order to “save the environment”. all very worthy. boarding was relatively quick with the ground crew insisting that everyone wore a mask. again very encouraging – except many passengers had half-removed them before they reached the aircraft including a returning pilot sitting in business. the aircraft was a little worn but adequate. i received a warm glass of champagne but had to ask for it. food was ok but not memorable. as we approached addis i obediently complied with the cabin crew’s request to put my seat upright – but the pilot sitting in business evidently believed that the rule did not apply to her and remained reclined during landing.,Business,Business Class,January 2021,Negative,Positive,Neutral,,Negative,,Neutral,1
14,ethiopian-airlines,2021-01-11 00:01:00,"check-in at lhr was semi-chaotic with no distancing and a crush as passengers with huge amounts of baggage pushed their way through. there was no business priority lane. the only lounge open was lufthansa’s uninspiring offering with beer or wine being served from a desk and a selection of food. despite travel restrictions most lhr t2 travellers seemed to be retired couples. boarding was slow with no priority for business but once on board it was a nice surprise to discover it had the new individualised seat layout. cabin crew was quick to serve a glass of champagne and a refill. the movie selection was dire. wi-fi failed to connect to the satellite throughout the flight. the food choice was beef, chicken or fish and although it was served in a more premium economy style – a covid precaution – it was more than sufficient. the cabin crew was attentive in keeping my glass full. the flat bed was slightly narrow but not to extent that i was unable to sleep. overall, this flight offered value for money and i arrived feeling relaxed.",Business,Business Class,January 2021,Positive,Positive,Positive,Negative,Negative,,Positive,1
15,ethiopian-airlines,2021-01-11 00:01:00,it was a nice surprise to find a 787 rather than a 737 that they often use on this route. although it had an old-style side-by-side business seats the front of the plane almost empty and so it was not an issue. a glass of champagne was served very promptly and refilled – a nice trick other airlines should learn. the choice of food was limited to chicken or beef and i chose the former which came covid-style but with a pleasant couscous and prawn. there is no wi-fi on the aircraft and i did not check the movies. the cabin crew were efficient and pleasant.,Business,Business Class,January 2021,Positive,Positive,Positive,,Positive,,Positive,1
16,ethiopian-airlines,2021-01-10 00:01:00,"online check in through the app very good. luggage drop off in athens, was a biut chaotic as there were a lot of people with excessive luggage on the counter line. the agents were very good though. the 1st flight was delayed more than an hour, however as i had almost 5 hours stop-over in addis ababa, this was not a problem. the flight was coming from moscow and the majority of the passengers were from russia. almost full, however no-one next to me. comfortable aircraft and seat and good food service (hot tasty meal). cabin crew wear traditional ethiopian dresses, which looks very nice and they are polite and nice, although strict regarding the wearing of masks (which they should be). addis ababa is a big hub, very busy in the morning that we arrived (although during covid times). a lot of aircraft arrive at the same time and many passengers have to catch connecting flights, this was done efficiently though. the airport is not particularly luxurious or extra comfortable, however not bad either. would have preferred a shorter connection, however i knew about it when i booked it. the 2nd flight was on time, uneventful, another nice warm meal in a 2 hour flight. landing smooth and collected luggage pretty quickly. this airline seems to do a very good job, is the leader in african aviation and competes well all major carriers - seems that they directly compete the gulf carriers on many routes pretty well.",Solo Leisure,Economy Class,December 2020,Positive,Positive,Positive,Positive,Positive,,Positive,1
17,ethiopian-airlines,2020-01-28 00:12:00,i flew from cape town to dubai via ethiopia. the dubai government website states a pcr test can be completed on arrival in dubai. when i checked in at cape town airport ethiopian airport staff did not request a covid test to board my first leg to ethiopia. however i was denied boarding in ethiopia as they informed me a pcr was required. i was forced to spend 2 days in ethiopia waiting for a pcr test which was costly. i understand requirements need to be met but i’m deeply dissatisfied that the pcr wasn’t requested to board in cape town as the airline were well aware of my entire journey and end destination. when i raised the matter with the airline their only response was that it was mentioned on their website.,Solo Leisure,Economy Class,November 2020,Neutral,Neutral,Neutral,Negative,Negative,,Neutral,0
18,ethiopian-airlines,2020-01-23 00:12:00,"we arrived at the airport well in advance, before 10:30hrs for a 13:40hrs flight. their service was extremely slow; people started to pay agents working at the airport in order to jump the queues. they decided to stop accepting passengers very early. all the agents just disappeared and there was nobody to ask what was going on. the airport authority staff told us that this has been happening since sunday 20/12/2020, and passengers are put on next day's flight, which makes them close early as all seats become occupied.  with the covid-19 certificate being valid for 72 hours only; everything becomes so complicated. we don't know what ethiopian airlines agents will say tomorrow, neither do we know what the staff at ministry of health will say about the covid-19 certificate. ethiopian airlines need to stop this practice.",Solo Leisure,Economy Class,November 2020,Positive,Positive,Positive,Neutral,Negative,,Positive,0
19,ethiopian-airlines,2020-01-02 00:12:00,"we had 3 return flights booked and paid for in april. due to covid travel restrictions, asked for a refund via email. no response, so then a phone call to australian office - told to phone head office in africa. emailed again and received reply with lots of exclamation marks saying 4-6 month processing time. didn’t quite believe it was a genuine email, but 5 days later, all money refunded to my credit card correctly. happily surprised, sad not to have been flying. looking forward to a future african holiday.",Family Leisure,Business Class,November 2020,,,,,,,Neutral,1
20,ethiopian-airlines,2020-01-24 00:11:00,"i had read the reviews from other travellers in regards to this outfit and against my better judgement went ahead and booked two return business class flights due to depart 27th november. due to covid further restrictions and to bear in mind the political violence escalating in ethiopia we were in no position to fly. i have now called them 24 times to speak to anyone on this and no one has answered a call - i have emailed - no reply. when we try to go cancel on the site - it crashes - looks very like a case of we have your money, you don't exist. so after much chasing around my only option is to see if my bank can step in on the payment. worst airline i have come across in 15 years.",Couple Leisure,Business Class,November 2020,,,,,,,Negative,0
21,ethiopian-airlines,2020-01-21 00:11:00,my flight was cancelled on september 10 and they promised me to refund me within 10 days. after 10 days they said 2 more weeks. next it was 4 to 6 months. i wonder what they will tell me next.,Solo Leisure,Economy Class,November 2020,,,,,,,Negative,0
22,ethiopian-airlines,2020-01-19 00:11:00,"i had a booking with in april when the pandemic struck us all. they cancelled my flight. according to european regulations the airline need to offer a refund. ethiopian airlines never offered a refund, no matter how many times. it's november and i still haven't been able to get a refund for my tickets.",Solo Leisure,Economy Class,April 2020,,,,,,,Negative,0
23,ethiopian-airlines,2020-01-16 00:11:00,"i had booked my ticket from nairobi to athens via addis ababa and the airline cancelled my scheduled flight due to covid. when the airline resumed flights and i went to change my ticket, i was informed that the price had gone up (to double in fact) and even though it was a ticket i had already paid for, i had to pay for it again.  24 hours before departure i tried to check in online, but only the first part of my flight was available for check in. when i arrived at the airport et had cancelled my flight from addis to athens, without notifying me, and had also booked me to fly 24 hours later, meaning i had to spend a day in addis and arrive to my destination with 36 hours delay. the only way for me to reach my destination on the day i had planned (which was important) was to fly via rome, adding 9 hours to my trip, and a lot more risk of contracting covid, as i had to wait for hours at the airport and later fly with a plane that for some reason was crowded in the front half, while the second half remained empty. my trip lasted a total of 21 hours, and cost 1100$. my husband flew a day later with lufthansa, and was there 12 hours later, having paid 600$. when i complained about this and requested to be refunded the difference i paid, someone replied  'please kindly note that whenever schedule change or routing change occur we understand as our passengers’ plan may be disrupted but sometimes such decisions are necessitated due to operational or unforeseen circumstances'. after having flown with this airline a few times, i have come to the conclusion that it's ok to fly with them if if everything goes smoothly, but if something goes wrong and you need assistance and customer service, they become the worst.",Couple Leisure,Economy Class,September 2020,Negative,Negative,Negative,Negative,Negative,,Negative,0
24,ethiopian-airlines,2020-01-16 00:11:00,"boarding was done efficiently – we were in zones and to prevent the inevitable attempts at queue-jumping staff were there to tell people to go to the back on the line. masks were obligatory but social distancing was not. the aircraft was exceptionally clean and many of the seats in economy were empty – which is always a recipe for a pleasant flight. toilets were clean. there was a broad selection of movies and the aircraft had decent screens. the only problem is that the controls are mounted in the arm rests which meant that occasionally the movie would freeze as your arms brushed against the panel. the flight was slightly delayed but arrived on time. food was served promptly – a choice of beef or chicken with a roll, crackers, cheese and a biscuit. although nothing special it was more than adequate. there was more wine if you asked. on landing at lhr there was the usual long walk at t2 and then delays at the egates as passengers wondering why they were not working while they were wearing masks. the bags also took a long time to load onto the belt. having flown on a 787 and then an a350 in quick succession, with identical seats, the latter would be my preferred aircraft: the flight seemed smoother and quieter and it simply felt better. given the cheapness of the ticket this flight offered incredible value for money especially as it included one hour free wifi.",Solo Leisure,Economy Class,November 2020,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,1
25,ethiopian-airlines,2020-01-09 00:11:00,"heathrow airport is operating in lockdown mode and therefore check-in and security were very quick. most of the restaurants were closed, although it was possible to buy some drink and food to be eaten on the chairs. boarding the aircraft was done efficiently and it was about half full which meant that i had three seats to spread across. the cabin crew were pleasant and professional. the food was served in a box with a choice of chicken or beef. there was no problem with asking for another small bottle of wine or beer. we left on time and arrived slightly early. the aircraft was wi-fi equipped with one hour free access and a modest fee after that. the connection was remarkably fast. given the price of this flight it offered great value and, with the lack of passengers at the airport and on the plane, was arguably a more pleasant journey than in pre-lockdown days.",Business,Economy Class,November 2020,Positive,Positive,Neutral,,Positive,Positive,Positive,1
26,ethiopian-airlines,2020-01-08 00:11:00,"packed a359 from dubai to addis. cabin temperature too warm, wifi not working. cabin crew very nice and attentive, meal was a typical c19 box with dry items and a hot casserole. dry items were horrible, some small red beans salad in a sauce, bread hard as a rock. crew apologized and brought a fresh bun. i guess et assumes all their passengers like spicy food. ethiopian proud itself on safe operation due c19, but on the ground they start boarding before the cabin is ready, so the jetway is packed, passengers on top of each other. forget social distancing. upon landing in addis, passengers get up while the aircraft is still taxiing. cabin crew tried to control the crowds, but to no avail. i forgot my bose headphones onboard,but trying to get assistance in the terminal was impossible. i was told “ to find an agent with a radio to call the plane”, but none had a radio. our flight to tel aviv was delayed 3 hours du to some excuses about the ‘air space’ being closed in ethiopia. that didn’t stop other flights to take off. luckily we left after 3 hours (at 3am rather than 2355) again that horrible box with spicy chicken, but we were all just happy to be out of addis ababa. their cabin crew is the only good thing going for et.",Solo Leisure,Economy Class,November 2020,Negative,Positive,Negative,Negative,Negative,Negative,Negative,0
27,ethiopian-airlines,2020-01-19 00:07:00,"frankfurt to addis abba on 05th july 2020. i had originally booked an economy class seat, but decided to upgrade to cloud nine as i wanted to relax and enjoy my flight in comfort.the check-in gentleman in frankfurt was friendly and processed my $580 upgrade fee. no mention was made about any change in onboard service. i was directed to the senator lounge at frankfurt airport where i was horrified to find every single business class passenger flying that evening, attempting to squeeze in the few seats available. if the other lounges in frankfurt are closed due to covid-19, then having masses of people cramming into one lounge is a major mistake, as it puts a large number of people crammed together into one small lounge. rather have several lounges open with a limited restriction on number of guests allowed at a time. boarding went smoothly.  the seat on the 787 was as expected. comfortable, but unfortunately that is where the pleasant onboard experience ended. i realise that there may be concerns of the covid-19 virus and how to handle on-board service, but i had just flown on a lufthansa connecting flight from lisbon, and i was given the full business class experience as normal.  firstly, no hot towel served. no menu. inflight entertainment not working.  seat charging ports not working. economy class tray and food served in business class. shocking quality of food for business class. breakfast was cold and severed in a economy class tray and i found out it was the same meal offered in economy class! toilet behind seat 5l, not flushing. crew did not wear gloves at any time during service. how is ethiopian airlines charging me a full upgrade cost when the product i am receiving is not business class in any way. only the seat was business class. nothing was mentioned about the lack of service onboard this flight. they offer business class as a whole experience and product. i tried to call their global customer service number in addis abba and waited for over 6 hours on hold before the calls being cut off! they said they i was ""next in line"" to be answered for over two hours! each time. it is wrong to use the covid-19 threat to still charge business class fares but bring down the level and items served in this class.  if you want to cut services offered then you should cut the cost of the business class fares to reflect this.",Business,Business Class,July 2020,Positive,Negative,Negative,Negative,Neutral,,Negative,0
28,ethiopian-airlines,2020-01-12 00:07:00,"ethiopian is an all-around great airline that definitely deserves its status as africa's leading carrier. for a two hour flight, we even got a full meal, something you'd never get in economy class in the us. they also had a nice cabin with comfortable seats, and there was a new stream to your device entertainment system. however, it's a shame that such a great airline is saddled by such a terrible hub airport like addis ababa, which is currently undergoing a renovation that doesn't seem to have changed the problem of congestion and lack of jetbridges. luckily, this flight departed in the afternoon, as addis ababa gets even crazier during the late night hub hours. boarding was chaotic, which is the norm on ethiopian, but the arrivals process at nbo was actually decent, as ethiopian uses kenya airways' much more modern wing of the airport for arrivals. anyways, great flight, but mediocre ground experience.",Solo Leisure,Economy Class,January 2020,Positive,Positive,Positive,Neutral,Negative,Neutral,Positive,1
29,ethiopian-airlines,2020-01-21 00:05:00,"i believe that ethiopian airline has been very unfair with its refund policy during this corona virus pandemic period. it has advertised that a ""full refund"" will be issued to customers whose intended flight fell between march and june 2020. however, this refund will be in the form of a voucher. this means that the airline has tied up my travel funds and i have no other option but to travel with them when the airports open. the airline has stated that if i want a cash refund, a $300 penalty apply. the airline has refused to issue a cash refund without penalty as it was the airline that went ahead to cancel my flight. they have refused to offset the value of the existing ticket against repatriation costs and i have been backed into a corner where i have no other option but to wait till the airports open (hopefully my visa does not expire before then) and travel with ethiopian air.",Solo Leisure,Economy Class,June 2019,,,,,,,Negative,0
30,ethiopian-airlines,2020-01-18 00:05:00,"i had booked a ticket with ethiopian airlines, which got cancelled due to the extension of covid-19 flight restrictions. i contacted the airline customer support via email and was advised there would be a usd300 fee applied to the refund of the ticket. this is despite the ""free"" refund condition advertised on the airline website during the online ticket booking process.",Solo Leisure,Economy Class,May 2020,,,,,,,Negative,0
31,ethiopian-airlines,2020-01-27 00:04:00,"missing suitcase - positive result. my wife was in sa when the lockdown was announced - virgin summarily cancelled her return flight (am still waiting to hear from them re getting back here, even though she has been home for a month) to get back she bought a ticket with ethiopian airlines, via addis ababa. the flight was great, good service, excellent planes and staff and a pleasant flight all round. down side was that her suitcase didn't arrive - it wasn't put onto the plane in johannesburg. having notified the powers that be at heathrow - with no success, i wrote to ethiopian airlines directly. immediate response from the highest level and a string of follow up emails over the next couple of weeks, she received a call yesterday to say that her case was waiting at heathrow. we went down to collect it immediately - as per normal at johannesburg international, her wrapped suitcase had been opened, the stitching slit and her case rifled through. fortunately the low life that got in there didn't find anything as he didn't unzip the top compartment. i have the utmost respect for the way in which ethiopian airlines assisted us with the return of the case. brilliant service. in future we will certainly choose them above any of the larger carriers who don't understand the meaning of customer service.",Solo Leisure,Economy Class,March 2020,Positive,Positive,Positive,Positive,Positive,,Positive,1
32,ethiopian-airlines,2020-01-09 00:04:00,"beijing to addis ababa. i booked a flight through trip.com. i was informed by trip.com that my flight was cancelled due to recent flight restrictions. i phoned trip.com and received the expected answer that my full ticket will be refunded to me, due to the airline cancelling the flight. . i received a email that a third of my ticket price will be taken for cancelation fees and i need to respond within 3 hours to accept this. neither trip.com nor ethiopian airlines provided me with a reason therefore. don't bother using trip.com, book directly through the airline and save on the fees you will have to pay trip.com.",Solo Leisure,Economy Class,April 2020,,,,,,,Negative,0
33,ethiopian-airlines,2020-01-31 00:03:00,"athens to entebbe via addis ababa booked for april. they canceled the flight, and is refusing to refund. they offered an open ticket which does not meet our needs. they claimed that we are not eligible because of the non-refundable status of the ticket.",Solo Leisure,Economy Class,March 2020,,,,,,,Negative,0
34,ethiopian-airlines,2020-01-30 00:03:00,"my son and his friend booked tickets to fly from johannesburg to chengdu (connecting on to shenzhen) via addis ababa. the departure date was 02 april 2020. south africa enforced a lockdown from 27 march to 16 april. china enforced a lockdown on 28 march 2020. despite several attempts to contact the airline locally, we were unsuccessful. finally after a long, expensive wait, we contacted the call centre in ethiopia. we were informed that the flight had not been cancelled but as the airline was not allowed to land, there would be no flight. the airline was offering a travel voucher and cancellation with a refund was available with a cancellation fee of usd150 and a no show fee of usd50 with no refund. the difference in airfare would be payable when the voucher was to be used, if applicable. on 27 march we received email notifications for each leg of the flight that the flights were cancelled due to unforeseen circumstances. while it is understandable that the airline would not want to lose money, ethiopian airlines are using coercion. customers have no control over changed flight prices at the point of flying after covid-19. so if one opted for the travel voucher, a customer may have to pay more for a ticket. should one opt to cancel, the customer would have to pay usd150.  the fair position would be to either refund the customer with no penalties, as it is not the customer’s fault, or to offer the voucher with an assurance that there will be no price difference to be paid later.",Couple Leisure,Economy Class,March 2020,,,,,,,Negative,0
35,ethiopian-airlines,2020-01-19 00:03:00,djibouti to addis ababa. every thing was alright but only one type food was provided at the economy class. considering the fasting months in ethiopia orthodox christian and vegan customers preferences only chicken sandwich is not enough option and this can’t reflect the flagship airline standards. i hope the management team will consider this. i wish you all best in this critical time of covid19 .,Business,Economy Class,March 2020,Positive,Positive,Negative,Positive,Positive,Negative,Positive,1
36,ethiopian-airlines,2020-01-24 00:02:00,"i was very disappointed with the ground service. the staff didn't have the correct information about my flight and that of my children. they marked our tickets as used and confirmed that our flight had reached the destinations when in fact we were all held back. i was in transit in addis and the kids were held back in bujumbura due to bad weather conditions instead of landing in kigali as planned, i understand a flight not reaching its destination but i don't understand why the company chose to withhold this information especially from a parent or give me the wrong info altogether, i cannot tell you how much panic this misinformation caused. the ground staff acted like we the clients were bothering them every time we asked for information. i asked a lady if she could make a simple phone call to their office in kigali or to immigration to at least confirm if their passports had been recorded in the system and i wasn't granted even that. do better.",Family Leisure,Economy Class,February 2020,Neutral,Positive,Neutral,Neutral,Negative,Neutral,Negative,0
37,ethiopian-airlines,2020-01-23 00:02:00,"buenos aires to manila via addis ababa. i was  expecting the worst, but i got surprised, as the flights were very pleasant, the staff was very nice. they gave us lots of food and things like blankets, toothbrush and paste, socks, eyes cover, and considering i've had longer flights with more expensive airlines that did not provide any of these, i found it very nice. the only thing to point out is that in my second flight the screens wouldn't work, i asked for help to one of the members of the crew but she never came back.",Solo Leisure,Economy Class,February 2020,Neutral,Positive,Positive,Neutral,Positive,,Positive,1
38,ethiopian-airlines,2020-01-19 00:02:00,"cape town to london via addis ababa. ethiopian has nice new aircraft in the a350 and some of their cabin crew are lovely. however their pre/after service care that is appalling. bumped off a flight from cape town to london because the previous days flight was overbooked - our flight was overbooked - they put an a350 (smaller seating config) on the route instead of the 777 as had technical issue. despite having queued for 2.5 hours at check in and the a further four house at the ticket desk, we were whittled off to a hotel for the night and promised to be on the next days plane. things happen and generally accepted it up to this point. arrived at airport next day and only ticketed to addis but promised when we get to addis would get onward ticket there as they could not issue in cpt. didn't not believe as need an aisle seat and so was apprehensive. also informed $300 voucher only usable for a flight or could convert to $150 cash at heathrow at the ticket desk upon arrival. got to addis no onward ticket and when squeezed on the flight told i had to have a middle seat -informed they would ask all passengers on boarding to see if someone would swap. i was fortunate that someone next to me would swap. upon arrival at lhr went to ticket office and woman behind counter says we dont issue cash here you will need to call customer service - called customer service who said or you will need to email the london office to find our what to do. emailed the london office and a number of other offices 4 times and not had a response.",Couple Leisure,Economy Class,January 2020,Neutral,Neutral,Neutral,Neutral,Negative,,Negative,0
39,ethiopian-airlines,2020-01-17 00:02:00,"awasa to addis ababa. we were told to board the aircraft by foot which was normal. however, once inside the aircraft, there was no air conditioning circulation.  we were stuck in that condition throughout taxi. it finally cool down to acceptable condition after the plane took off. worst of all was when flight attendant insisted on opening the window blinds, which let in more sun and heat.",Family Leisure,Economy Class,February 2020,Neutral,Negative,,,Negative,,Neutral,0
