,Subject,date_published,verified,review_text,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,value_for_money,recommended,aircraft
10,tunisair,2018-01-28 00:11:00,False,"London Heathrow to Tunis Carthage. Plane was at least over 2 hrs late from departure but our return flight was on time. Service was ridiculously slow. Had 2 ask a few time the same staff member for some water. Food was not tasty, however my issue is the dirt and bacteria from a seating position is absolutely disgusting. Filth is not acceptable on that level, especially at the cost of their tickets. Tunisair you should be ashamed of yourself.",Family Leisure,Economy Class,London Heathrow to Tunis Carthage,July 2018,1,1,1.0,,1.0,,1,no,
11,tunisair,2018-01-01 00:09:00,True,"Over 4h delay on a 1h 45 min flight from Tunis to Barcelona. What’s more frustrating is the lack of information. No Tunisair representative knows what’s going on, what’s causing the delay, or when we will take over. Do not take this airline unless you want to be stranded.",Solo Leisure,Economy Class,Tunis to Barcelona,August 2018,1,1,1.0,1.0,1.0,1.0,1,no,
12,tunisair,2018-01-22 00:07:00,True,"Tunis to Lyon. Having read negative reviews, I was sceptical. However, I found the experience to be excellent. Although the plane was not new, it was clean and well presented. Boarding was organised and easy, cabin crew were very friendly and went out of their went out of their way to help. Meal was very tasty, for plane food and a gluten free option was available, even although I had not ordered one. The plane was busy, however, compared to many British short haul flights, pax were helpful, polite and quiet. I would not hesitate to fly them again.",Solo Leisure,Economy Class,Tunis to Lyon,June 2018,4,5,5.0,,4.0,,5,yes,A319
13,tunisair,2018-01-04 00:06:00,True,"Cairo to Frankfurt via Tunis. I booked flight via tripair with Tunisair to Frankfurt, the flight cancelled and gave me another flight in same day so I accepted, then it was cancelled again and gave me two days late flight. I refused this alternative, it was only 15 days before flight and prices got crazy and they refused to pay any compensation. In addition they sent on mail amount of refund which is less than what I payed( 233 Euro and I payed 344 euro) and I am keeping for 5 days and no clear answer how much will be the refund. Beside Tunisair is not replying at all.",Business,Economy Class,Cairo to Frankfurt via Tunis,June 2018,5,5,5.0,5.0,5.0,5.0,5,no,
14,tunisair,2018-01-11 00:04:00,True,"Dakar to Tunis. We had low expectations when we booked Tunisair. They offer cheap fares and generous baggage allowance but you have to put up with delays - one hour and a bit in our case and a lot more - the captain allowed his children to sit in the cockpit during takeoff and landings, and the crew was only interested in catering to them and other crew's relatives, placed in three rows at the back. Allowing anyone into the cockpit is a serious security breach but unfortunately the norm at this state airline - you can imagine in case of an evacuation the crew would mainly care out their relatives. Also the AC didn't work, food was lousy and the crew generally crude but the main reason I won't be using them is the security breach. Tunisair is a loss-making state carrier controlled by labour unions which oppose reforms such as scrapping of free tickets for employees - other airlines offer similar benefits but I doubt they allow kids to take off in the cockpit. Also the captain upgraded passengers to business class after takeoff, probably his relatives or friends so why would anyone pay business class ?",Couple Leisure,Economy Class,Dakar to Tunis,March 2018,1,1,1.0,1.0,1.0,1.0,1,no,
15,tunisair,2018-01-26 00:03:00,True,"Our first flight from CAI to TUN (# 814) on Aug 31, 2017 was delayed with initially no delay notification. We were delayed for this flight in the airport for over 4 hours with no food. Once on board the plane, we did not get the vegetarian meal that we requested when booking our tickets. Upon arrival in Tunis a representative told us that our meals, a hotel and transportation to and from the hotel would be provided to us free of charge. We were denied our request for a dinner voucher (after not having eaten all day), shops were closed so we didn't eat dinner. We talked with a representative who confirmed in the computer that we had selected the vegetarian meal option when we reserved our flight but somehow the request had not gotten through the system and he was unable to correct this for our next flight because of late notice to the caterers. So we went on another flight without food. Our flight from TUN to MAD on Sep 1 was again delayed and initially, we were not told how long we would have to wait. During our long wait in Tunis airport, we were given a single meal voucher. The meal that was provided didn't have anything we could eat and it took numerous difficult conversations, and over an hour, and requests from multiple people to get something that we could eat, and only then were we given a very small serving of vegetables, far less food than the equivalent standard meal. The flight 606 from TUN to MAD was delayed, again, past the rescheduled time. No new vouchers or meals were provided. Our flight didn't end up departing until at least 5 hours after the original departure time. We have a photo of the flight announcement board showing this. On the plane, again, the vegetarian meal we had ordered was not provided. Our plan was to be picked up by our friends who drove 3 hours from Portugal but since the flight was so delayed so long, and we were not given information about the delay, even though we asked, that we arrived Madrid past midnight, they had to pay for a hotel to sleep for the night. We were told to wait by the customer desk at Tunisair's counter in the airport, and we waited there for an hour and no one showed up. We had to pay for a taxi into the city, struggled to find something we could eat (having eaten so little in the past days) and pay for a hotel to stay that night. We told our experience to a Tunisair representative in Madrid who said that she would take care of it if we emailed her our experience. We did so, and she never responded. We also emailed several other places in the organization and no one ever responded. We filed a complaint report on one of our return flights, which no one ever responded to as well. In January, I continued to make calls to speak with a person on the phone. I spent hours on different lines, being referred from one place to another with every staffer I spoke to ""not having the authority"" to do anything about it, nor able to transfer me to someone in their department who could. On January 19th I finally found an agent in your office in Montreal who said that they would be able to resolve the situation, and would respond soon. No one got back to me until I had to reach out again on Feb 26th asking about the status of the claim, and only then did the agent ask me for my home address. After weeks of continued attempts, eventually a response from customer service, addressing none of my complaints was sent.",Couple Leisure,Economy Class,Cairo to Madrid via Carthage,September 2017,1,2,1.0,1.0,1.0,1.0,1,no,
16,tunisair,2017-01-03 00:12:00,True,"Tunis to London. On the plus side the flight was cheap and left broadly on time. In all other ways this was a truly dismal experience. Check-in was surly to say the least and, given how empty the plane was, very slow. Tunis airport is in serious need of some TLC. It feels cramped and hot and there are remarkably few areas to sit down airside. Onboard the seats were filthy, old and disgusting. Perhaps once the blue leather might have seemed like a good idea, but not any more. The seatback table was filthy. The food, when it came, was delivered with the same surly disinterest as the rest of the service. And it was disgusting. The aircraft was kept at an uncomfortably high temperature. But most shocking was the incapacity of the crew to contain the passengers. On departure there were children in the aisles, window shades down and seats reclined. the moment we landed people were pulling things out of the overhead bins without any intervention from the crew. Baggage took ages to arrive and Tunisair operates into T4 at LHR which meant a twenty minute wait to cross the runway on the way in and a long wait to get a train back to the central area. I've flown on many airlines and I love Tunisia, but this experience was not a fitting end to our holiday.",Couple Leisure,Economy Class,Tunis to London,December 2017,1,1,1.0,,1.0,,4,no,A320
17,tunisair,2017-01-26 00:08:00,True,"I booked a Lyon to Tunis, Tunis to Madrid a week or so before travel and the trip was 5 days in length. About 5 day after booking, TU sent me an email about a 3 hour schedule change on the return. This was not acceptable to us and TU offered no other options. I tried cancelling the return but the LYS manager asked how could a 3 hr change effect it and that TU does not have to follow EU rules. Recommend you book on another airline.",Business,Economy Class,LYS to TUN,August 2017,3,3,,,1.0,,1,no,A320
18,tunisair,2017-01-04 00:01:00,True,"Tunis to Barcelona. Check in was long even with ""dedicated"" business desk. Despite online checkin you still have to get a boarding pass at the counter. No fast track possibilities for security checks / customs. Both flights were delayed (20mins and 90mins). Airplane was a bit oldish but legroom was above average. Staff is polite and available. Catering services are cheap. Overall average experience, being on time, catering and inflight entertainment could be improved.",Couple Leisure,Business Class,TUN to BCN,February 2016,4,4,1.0,,1.0,,4,yes,A320
19,tunisair,2016-01-06 00:12:00,,Nice flight on Tunisair from Bologna to Tunis. Can't do online check-in so got to the airport early and got a window seat. Check-in lady was funny so that is always nice. Plane boarded on-time via bus and took off early. Flight attendants were friendly and served a nice lunch on the 1 hour 25 minute flight. Plane was Boeing 737-600 and it was old! Tray table was broken in 1/2 and the overhead lining was coming down the back of the plane. So I wasn't sure about Tunisair maintenance practices. But the flight was good and we landed on-time and bags were off quickly.,Solo Leisure,Economy Class,BLQ to TUN,November 2016,3,4,3.0,1.0,3.0,1.0,4,yes,Boeing 737-600
20,tunisair,2016-01-07 00:11:00,True,"London to Tunis return, and had a very pleasant experience with Tunisair even though was expecting the worst after having read reviews. Check in at Heathrow was efficient but flight was delayed on leaving by <2 hours. The flight was not very busy but crew were really good. We were travelling with young children who fell asleep without asking one of the stewards came and put blankets on both of them. Food was very nice. The plane was old no entertainment but it was only a 2.5 hour flight. Coming back make sure you check in early as they close check in 1 hour prior to boarding. The flight was fully booked and we were given seats separately so this would have caused issues due to one of the children having sat on their own but there were some extremely good mannered gentlemen who swapped seats so that my sister and her 2 children could be sat together. All in all a very good experience and would recommend to any one who wants to travel to Tunisia. The flight was a lot better service than Thomas cook provide to their customers for a lower price.",Family Leisure,Economy Class,LHR to TUN,November 2016,5,5,5.0,,3.0,,5,yes,A320
21,tunisair,2016-01-05 00:09:00,,"Return trip from Lisbon to Beirute via Tunis.  Very old aircraft, very dirty. On my way back flight delay, assistence at arrival very bad almost 5 hours to get a solution for the lost Tunisair connecting flight. Lost my bag, stay for the night and next day to Lisbon via Barcelona. So far I did not get my bag, and no contact so far from Tunisair. My advise do not think twice, get other airline, this one is a 'jungle'.  What cames cheap, tends to get expensive.",Family Leisure,Economy Class,BEY to LIS via TUN,August 2016,1,1,1.0,,1.0,,1,no,Boeing 737-600 / A319
22,tunisair,2016-01-13 00:07:00,True,"Frankfurt to Tunis. On-line Check-in was possible through the Tunisair website. The website had issues being available at some hours of the day during that period (the TU server did not respond). Once accessed though, the procedure was fast and simple. There was no information on lounge access on the electronic boarding pass, so proceeded to the check-in area at FRA. TU Check-in area is in Zone C of Terminal 1 and is handled by AHS. When asked about lounge access, the AHS agent did not seem to know at first. I was then directed to use the Priority pass lounge located in the first floor, area C, before the security area, which is most inconvenient. The lounge was partially under construction. Very basic commodities, poor food quality - potato salad, potato soup and frankfurter sausages. Lousy internet reception of the main FRA internet access provided freely through T-mobile. only salvation was a good coffee machine. Left the lounge early to ensure I go through security and immigration procedures on time before boarding. Boarding was handled by bus (most times for TU out of FRA). Boarding was smooth, although no announcements were made to ensure boarding by zones / classes and for families with kids, rather a general announcement was made for a general boarding, of a full flight. Aircraft was a A319. Business class configuration was 2-2 with larger and seemingly more comfortable seats than economy class seats. It is a plus for this type of leg. LH and other TU flights on this leg offer a 3-3 regular economy class configurations with a blocked seat in the middle. The aircraft looked tired, dirty floors and dirty walls and panels. There is a PTV in the arm rest, which I did not try, so I am not sure if it worked. Now that catering is back to Tunisair, the meal service was good for this type of flight, with a salad (smoked salmon, mushroom), a hot offering with a selection of a beef or a seafood dish. I chose the seafood option, which was quite tasty and nice. Meal service was accompanied with a beverage service. Champagne, wines were offered. TU serves Piper Heidsieck Rosé at this time of the day. A great choice. Although the crew member was nice throughout the meal service (there was only one crew member working the Business class section of 12 passengers), she seemed to be a bit overwhelmed, forgetting requests for beverage re-fills etc. There was a single beverage service throughout the meal, until coffee. Not even another offering of water. The meal service was overall good considering the length of the flight. Overall the crew members were nice, smiling and very helpful. What ever imperfection I noted, I would attribute to a lack of training and the absence of clear direction as to how to handle a meal service. This is truly a flaw in the quality system of the airline and lack of training. Not blaming crew members as individuals. All announcements were made in Arabic and German. Nothing in English, including the safety announcements and demonstration. English should be added. Another illustration of breakdown in SOPs and lack of quality systems. This flight was overall pleasant. Tunisair has potential. Attention to cleanliness and training for inflight service is needed.",Business,Business Class,FRA to TUN,July 2016,4,4,5.0,,2.0,,4,yes,A319
23,tunisair,2016-01-26 00:06:00,True,"My second flight with Tunisair. I hoped it would be better than the first one but it was worse. The flight was announced with one hour delay 15 min before boarding. They knew it was delayed since the aircraft was coming from Brussels but they just annouced it 45min before departure. After boarding we had a technical issue and the crew announced first that we would be leaving in few minutes and then in 10 minutes. We waited for 1hr 20 min in the aircraft waiting. The crew just avoided being in the cabin, they didnt even offer water to the passengers. The aircraft was coming from Brussels and was dirty. I will try to avoid Tunisair.",Business,Economy Class,TUN to MAD,June 2016,3,1,2.0,,2.0,,3,no,A320
24,tunisair,2016-01-22 00:06:00,,Istanbul to Tunis with Tunisair - the check-in and boarding process at Istanbul airport was efficient. The cabin crew were not friendly and lacked courtesy. The catering is average and only 1 choice of meal. I will only fly again with Tunisair if there is no other option.,Business,Economy Class,IST to TUN,June 2016,3,1,1.0,1.0,3.0,,2,no,A320
25,tunisair,2016-01-05 00:05:00,,"Rome to Tunis with Tunisair. The flight was scheduled at 18:50. We were at the airport at about 16:45. We checked-in without a single problem. We boarded the plane early (18:00) - the plane had personal tv screens (sadly they didn't work, but it was only a 50 min flight). The meal service started about 15 minutes after take off, there was one option, Ham with green beans with a bread roll. There was a bar service followed by hot drinks. The cabin was pretty clean, nice and well maintained. The flight was half-booked so the were quite a lot of empty rows of seats. Tunisair is a good airline and I would recommend.",Solo Leisure,Economy Class,FCO to TUN,April 2016,5,5,4.0,,5.0,,5,yes,A319
26,tunisair,2016-01-26 00:02:00,,"Tunis to Rome with Tunisair. First they said that the flight was on-time. Boarding was expected at 14:10 (the flight was supposed to leave at 14:40). So I wait at the gate. 10 minutes pass, 20 minutes pass, 30 minutes pass I decide to go to the gate agent and said ""Oh yeah the flight is delayed to 16:00"". It's 15:30 and the plane was not here. The plane finally arrived at 16:15 and we boarded at 16:45. We enter the plane and when boarding wad over we waited 1 hour in the plane, the crew said nothing and when we finally pushed back instead of taking-off we just waited by the runway. We finally took off at 18:40 (my flight was at 14:40) so 4 hours of delay. For a 1 hour flight there were PTV's and it was nice. The food was good. We finally landed at 20:00.",Solo Leisure,Economy Class,TUN to FCO,February 2016,4,4,5.0,3.0,1.0,,3,yes,A319
27,tunisair,2016-01-05 00:01:00,,"London to Tunis return. At the moment the only way to get to Tunisia is with Tunisair. We found most flight attendants to be very rude, and showed no interest in serving us. I asked for a cup of tea 5 times and was completely ignored. I tried to book a vegetarian meal without success and when I asked if they had a vegetarian meal was told curtly no! We have flown with them 4 times in six months and each time have found the service to be shocking. Staff should have customer care training as their attitude to work is dreadful!",Family Leisure,Economy Class,LHR to TUN,January 2016,3,1,1.0,,3.0,,1,no,
28,tunisair,2015-01-09 00:11:00,,"I had two flights with Tunisair, from Algiers to Tunis, and a few days later to Beirut. I found them to be a legacy carrier operating as a low cost, they serve free food and drinks, but very basic and inedible most of the time.! Planes quite new and some with video on demand. On board service ok, the ground staff seemed to be a little lost and could not check visa requirements properly. They change flights last minute but my flights were on time, would fly them again.",Solo Leisure,Economy Class,ALG to TUN,October 2015,3,2,2.0,3.0,2.0,,3,yes,A320
29,tunisair,2015-01-31 00:08:00,,Tunisair flights always delayed (last time 6 hours). Poor information and unfriendly service on ground. The Tunisair website is never updated. The food onboard flight is okay. The seats are comfortable but old. Very poor.,Solo Leisure,Economy Class,Djerba to Munich,August 2015,3,2,1.0,,1.0,,2,no,A319
30,tunisair,2015-01-14 00:07:00,,Tunis-LHR Economy - Tunisair check-in is awful. We were a group of seven and for a 30% occupancy they spent over an hour with three different check-in staff finding seats together. But in flight was good. Tunisair catering was on strike but the alternative meal service was rather good (no alcohol) and tasty hot lunch provided. Old seats in the cabin but very comfortable and a lot of leg room. Good cabin crew and excellent newspapers and in-flight magazine.,Business,Economy Class,Tunis to London Heathrow,July 2015,5,4,3.0,3.0,1.0,,3,yes,A320
31,tunisair,2015-01-01 00:07:00,,"We flew business class on Tunisair on a business trip to Tunis and had a good flight. A319 on FRA-TUN had business class seats , the crew was always on hand and the lounge in FRA was comfortable and a good choice of food and drinks. During the flight a selection of beverages was available free of charge and the crew offered additional drinks several times. The snack was a little small for the business class price, only a sandwich and a piece of cake was served. The flight back was good also, but there were no business class seats - just economy class seating with free middle seat. The lounge in Tunis is not the most comfortable but it does its job. The crew was friendly. Only minus point here: no food due to problems at Tunis airport (we were informed at the lounge so we had some snacks there). All in all we had two good flights and would use Tunisair again.",Business,Business Class,Frankfurt to Tunis,June 2015,5,5,3.0,3.0,5.0,,4,yes,A319
32,tunisair,2015-01-20 00:05:00,,I don't usually bother with reviews I fly so frequently worldwide so figure on average you'll get a few bad ones but felt compelled to spread the word this time. It was the first and will be the last time I would fly anywhere with this airline. Check in for both flights met with miserable uncommunicative staff who clearly don't want to be at work ancient filthy aircraft you start having serious thoughts about safety surly lazy cabin crew food offerings look so inedible you don't bother opening the plastic packaging 3.5 hour delay on return flight from Tunis to London no updates or explanations just wait wait wait at the gate in the grimy surroundings that appear to be the norm for Tunisair. Customer service is not a concept they understand.,,Business Class,,,1,1,1.0,1.0,,,1,no,
33,tunisair,2015-01-19 00:04:00,,This is not my first review on Tunis Air but since the closure of the London-Tunis flight on BA this is the only scheduled direct service from the UK right now. Departed on the TU790 on the 06th April. The flight was over 2 hours late arriving into London on the inbound so did not depart until some time after the STD. Outbound aircraft (TS-IMH) was very old (1994) and extremely dirty inside. The cabin crew were not very happy and showed this in the service or lack of during the flight. Meals were simply a piece of bread with cheese and chicken and 1 service of drinks. The most memorable part of the flight was going to the rear cabin once the food and drinks service was concluded. The cabin crew (6 members) were having a wonderful time socialising with no regard or interest in the passengers. The return flight that I took on the 13th April as the return leg (TU791) was operated by a much newer (2013) aeroplane (TS-IMV). However again clearly Tunis Air have either a very poor outsourced company which do the aircraft cleaning in Tunis Airport or they simply do not clean their planes in order to save costs? At least 1 cabin crew member was on board who operated the flight a week earlier. Unfortunately again the service was a complete repeat of the earlier flight. Tunis Air are under increasing pressure I am informed to perform as an airline who frankly have not for some time. However if this is an indication of the measures they are taking to improve the service then I do not hold much hope for the airline going forward and once EZY start their service from STN-MIR in June I will be switching my business to them.,,Economy Class,,,3,1,1.0,1.0,,,1,no,
34,tunisair,2015-01-09 00:03:00,,Heathrow-Tunis-Heathrow. Outward the plane was on time. The staff did not manage one smile between them. The food was appalling (no starter just chicken and couscous plus an industrial bit of cake) the wine had run out and there was only one beer left. Return flight was worse. Cabin crew still could not muster a smile. Flight was delayed over 45 minutes because of late passengers so we missed our coach connection from Heathrow. There was no food at all because we were told once on board there was a caterer's strike. Since they knew there was a strike why did they not make other arrangements? Why didn't they give passengers vouchers to buy food at the terminal? Why did they not even tell passengers at check-in there would be no food then we could have bought our own? Truly a bad airline.,,Economy Class,,,3,1,1.0,0.0,,,2,no,
35,tunisair,2015-01-28 00:01:00,,Tunis-Amsterdam TU 638 23/12/2014. Very good no frills airline. Mostly on time. Apparently with delays on some airports like LHR might be a UK problem. Decent food. Nice personnel. I like that one pays a decent fare and one way is half of round-trip.,,Economy Class,,,4,4,4.0,3.0,,,5,yes,
