,Subject,date_published,verified,review_text,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,value_for_money,recommended,aircraft
10,air-seychelles,2018-01-19 00:11:00,True,Johannesburg to Mumbai via Seychelles. Terrible airline to fly with. They will try to scam money out of you any way they can. Staff are extremely rude and unhelpful. Do yourself a favor and pay a little bit more to go with a reputable airline.,Solo Leisure,Economy Class,Johannesburg to Mumbai via Seychelles,October 2018,2.0,1.0,2.0,2.0,1.0,1.0,1,no,
11,air-seychelles,2018-01-03 00:10:00,True,"Johannesburg to Seychelles. On the 4.5 hour flight the cabin flight attendants made only one trolley run with food and drinks, and that only after two hours in the air. By contrast, Air Namibia on a 1.5 hour flight do a drinks run, a food run and still a coffee tea run afterwards during the flight. Kenya Airways on a 4 hour run from Johannesburg do several drink runs in addition to the food run during that time. Air Seychelles cabin staff are not friendly and do not really care about the passengers. Its the worst service I have ever had on a flight.",Solo Leisure,Economy Class,Johannesburg to Seychelles,September 2018,3.0,1.0,1.0,2.0,3.0,,4,no,A320
12,air-seychelles,2017-01-26 00:09:00,True,"Johannesburg to Mumbai via Mahe, connecting to Hyderabad with Jet Airways. Flight was delayed in Mahe Airport for 4 hours then we missed connecting flight in Mumbai and we waited more then 5 hours in Mumbai Airport as they booked flights. There was no one to help us, it was bad customer service. Passengers were struggling to get the tickets for connecting flights. They made us to stood at counter for more then 2 hours, tickets had to be booked before we reach Mumbai Airport but they booked later we reached in Mumbai airport. Accommodation must be provided if there is a delay for more then 4 hours, but they didn't provide anything and didn't respond well in Mumbai Airport.",Business,Economy Class,Johannesburg to Mumbai via Mahe,September 2017,1.0,1.0,2.0,,1.0,,1,no,
13,air-seychelles,2017-01-26 00:07:00,True,"Me and my husband had a horrible experience flying Air Seychelles from Mauritius to Mumbai via Mahe. Particularly poor was the flight from Mahe to Mumbai. At Mahe airport when we asked for a seat selection, we were rudely turned down. We could see other people standing behind us get the front seats. This was unfair and uncalled for. To top it off on the 4.5 hour flight from Mahe to Mumbai we were not even given blankets. When we asked about the blankets, the cabin crew told us that they had limited supply. Complaints to management fell on deaf years. All they offered were 5000 measly miles which could be cashed in on our next flight with Air Seychelles. Avoid if you can.",Couple Leisure,Economy Class,Mauritius to Mumbai via Mahe,February 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,no,A320
14,air-seychelles,2017-01-10 00:07:00,True,"Not a good experience with Air Seychelles from Durban to Mumbai via Seychelles. Flight to Mumbai cancelled once we landed at Seychelles airport. Staff very unfriendly. stranded overnight. On return, staff had to be called several times to ask for blankets. No choice as to meal as meat was finished. TV screen never worked. Despite sending an online complaint, I still wait for a response. Their service seems to be very bad. No apology for the cancellation of the flight which affected our entire itinerary. I have completed the online survey and send a personal email but no acknowledgement or response. Will never use this airline or recommend it to anyone. I will stick with Emirates despite the longer route",Family Leisure,Economy Class,Durban to Mumbai via Seychelles,June 2017,2.0,3.0,2.0,2.0,2.0,2.0,2,no,A340
15,air-seychelles,2017-01-25 00:06:00,True,"Seychelles to Mumbai. The worst flight I've had. After a 3.5 hr delay, they refused to provide any assistance and staff was too confused to help us at Mumbai. Would recommend taking some other airline rather than wasting your money on this one.",Family Leisure,Economy Class,Seychelles to Mumbai,June 2017,2.0,2.0,1.0,1.0,1.0,1.0,1,no,
16,air-seychelles,2017-01-19 00:06:00,True,"Antananarivo to Abu Dhabi via Mahe. I have never experienced such a bad service! Lots of delays,mechanical problems with aircraft. No clear communication what was happening with the engine problems and updates so very stressy for all passengers to make connections. Very outdated aircraft. Problems with boarding pass issuing for many passengers while transiting in Seychelles! Frustrating with inadequate ground staff follow up! Halfway the food service some meals where already out of stock. Super rude check in at Antananarivo Airport. I have a silver frequent flyer card from Etihad which is their partner and normally my allowance was 40 kg. I arrived with a surfboard back and had to take out 8 kg as they said they only allow 32kg. My other bag was already checked in so i had to take it all as carry on.There where laughing and showed no mercy at check in-no humanity. I can't understand why a world class airline like Etihad teams up with them. This is island style aviation at its worst! Will take my business somewhere else.",Family Leisure,Economy Class,Antananarivo to Abu Dhabi via Mahe,June 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,no,A330
17,air-seychelles,2017-01-25 00:05:00,True,"Mauritius to Mumbai via Mahe. We had a horrible experience flying Air Seychelles. Particularly Mahe to Mumbai. We took Air Seychelles flight from Mauritius to Mahe - at Mahe airport for our onward flight from mahe to mumbai, when we politely requested to give us seats in the front of the economy - we were rudely turned down. How difficult is it to give 2 tickets in the front where in the tickets that were given to us were in the last and second last row - not even together - really unprofessional, unfair, rude. To top it in the 4 and half hour flight from Mahe to Mumbai we were not given the blankets. When asked about the blankets, the cabin crew told us that they had limited supply and they gave it to seats 6 to 15. The cabin crew did not even come and ask us about disembarkation form.",Couple Leisure,Economy Class,Mauritius to Mumbai via Mahe,February 2017,2.0,1.0,2.0,3.0,1.0,1.0,1,no,
18,air-seychelles,2016-01-18 00:11:00,True,"We had the worst air travel experience with Air Seychelles, flying from Antananarivo, Madagascar to Kathmandu, Nepal on 11/4/2016. We had two transfers - Mahe and Mumbai. We were treated like illegal immigrants and forced to stay at the airport overnight because the supervisor on ground in Mahe. We flew from Tana to Mahe. When we arrived Mahe, they refused to issue us boarding passes for our next two connections (Mahe-Mumbai-KTM) because we did not have onward tickets after Nepal. We explained that we are backpackers. We travel by land mostly and plan to cross the border by car from Nepal to India. The supervisor told us she will check and disappeared. When we asked about our flight, she said we still have time and she will not leave us behind. We waited in the airport until 9:10pm when our connection flight to Mumbai was boarding. By that time, we've purchased our onward ticket from KTM to Delhi as we cannot afford to miss the flight. We showed our ticket to one of the staff. The first thing she told us is we cannot boarding our flight because the gate is closed! Then when she phoned the supervisor, who demanded to see our India visa, which was completely irrelevant. We waited there thinking the supervisor will come back to us, but they just let us miss the flight like that! Even after we had all the documents they asked for. In the end, the supervisor never showed up and they did not let us board our flight even though we had the onward tickets. We were dumped in the airport without any explanation. We did not know why we need to show the airline our India visa while we are just flying to Nepal and what should we do for the flights that we've missed. When the supervisor showed up around midnight, she said we will have to wait for the next day to rearrange the tickets and just disappeared again. They tried to send us to a hotel but it was too late, the immigration officer didn't let us pass. Therefore, we were forced to sleep in the airport. The next day we spoke with numerous staff about our issue, including the supervisors and duty managers. None of them helped. In the end, we were able to board the flight that day withy the same documents we had a night before, which means we could've boarded our original flight!",Couple Leisure,Economy Class,TNR to KTM via SEZ / BOM,November 2016,2.0,2.0,,,1.0,,1,no,
19,air-seychelles,2016-01-05 00:11:00,True,"Johannesburg to Seychelles. First time travelling with Air Seychelles and I was very impressed. Ground staff was very helpful. Food was excellent, cabin staff was friendly. The flight was comfortable and there was a variety of entertainment on board. Great airline would definitely recommend.",Solo Leisure,Economy Class,JNB to SEZ,November 2016,4.0,4.0,5.0,4.0,5.0,,5,yes,
20,air-seychelles,2016-01-03 00:08:00,True,I wanted to bring to your attention the pathetic experience I have recently had flying Air Seychelles and its partner Etihad on the Mumbai-Dar Es Salaam-Mumbai route. I  booked a confirmed Air Seychelles Mumbai to Dar Es Salaam via Mahe return flights on January 2016 for July 2016. A month later we were informed that Air Seychelles has stopped flying that route and has shifted us to Etihad flight via Abu Dhabi. I confirmed with the Mumbai office of Air Seychelles and the flight was confirmed. A week before flying I checked with Etihad online and they informed me that my Abu Dhabi to Dar es Salaam sector was not confirmed. Neither Air Seychelles nor Etihad had taken the effort to inform me of this situation in spite of purchasing a confirmed ticket in January! If I had not followed up I would have been stranded in Abu Dhabi. The Air Seychelles ground office in Mumbai was equally clueless. Repeated emails from them to Air Seychelles and Etihad (on highest priority I was told) went unanswered. Only after I threatened to take action did they swing into action and book us on Kenya Airways. As a gesture we were informed that a special request for upgrade to Business class has been put but of course as expected there was no record on the system during check in. Also the complimentary chauffeur service from Etihad was not available as the PNR was 'not registered' in the system. The only explanation that I was offered was 'a system glitch'. This is irresponsible of both Air Seychelles and Etihad. I will definitely not be flying either airline. I would rather pay more and go by a more reliable airline like Emirates or Qatar Airways. Both Etihad and Air Seychelles promise a lot but once the money is exchanged forget their responsibility.,Couple Leisure,Economy Class,BOM to DAR via NBO,July 2016,3.0,3.0,3.0,4.0,1.0,1.0,1,no,A320 / Boeing 777
21,air-seychelles,2016-01-04 00:06:00,,"Uncomfortable, hardly any leg room and the cabin was so hot that it made it almost unbearable to be on the flight from Abu Dhabi to the Seychelles. However, on the return flight with Air Seychelles it was much better with a cooler cabin and much nicer staff. There were not as many passengers on the way back so we got to lay across the seats and sleep. Don't bother getting the front seats have don't have anymore room than the ones behind.",Family Leisure,Economy Class,AUH to SEZ,May 2016,3.0,4.0,3.0,3.0,4.0,,3,yes,A320
22,air-seychelles,2016-01-22 00:03:00,,"Abu Dhabi to Mauritius via Mahe. Previously the schedule and food were much better. One could leave around 9.20 am same day and arrive around 16.00 hours. Now, with Air Seychelles, one has to leave residence at 11.00 pm to reach destination around 12.20 next day, ie very odd hours. On top of that the transit time in Mahe, is now more than 2 hours. Seychelles has plenty of quality fish, yet the food served on both legs is appalling, only 2 breakfasts. Overall, only the dessert was good. It is preferable to pay partly for the food and obtain better quality.",Family Leisure,Economy Class,AUH to MRU via SEZ,July 2015,2.0,2.0,1.0,2.0,2.0,2.0,2,no,
23,air-seychelles,2016-01-25 00:02:00,,"First of all while booking online, only Credit Card payments are allowed - they don't allow netbanking or debit Card payments. No Option of changing your meal or seat preferences after booking. No Option to enter loyality Programme Details after booking. No option of online checkin - real shame who has design this Website. Before flying itself faced too much problems.",Couple Leisure,Economy Class,JNB to BOM via SEZ,February 2016,1.0,2.0,2.0,1.0,1.0,,2,no,
24,air-seychelles,2016-01-24 00:02:00,,"On original check in at Durban could check in baggage but SAA could not print Air Seychelles boarding pass. Re-check in at Johannesburg very slow with long queues, although very pleasant staff. Aircraft showed lack of cosmetic maintenance despite being fairly new such as loose seat pockets. Decent legroom and A330 seating configuration 2-4-2 preferable to Boeing. Service very slow after take off, first hour spent handing out immigration forms. Food was good but drinks, water or wine, in tiny quantities with no offer of refill. No walk around service after meal, although call button was responded to. Reasonable flight but do not be taken in by ""Creole experience"" punted on their website.",Business,Economy Class,DUR to SEZ via JNB,February 2016,4.0,3.0,3.0,3.0,2.0,3.0,3,yes,A330
25,air-seychelles,2016-01-02 00:02:00,,"Flew Air Seychelles from Seychelles to Praslin Island. Friendly staff, but a tiny plane (as it was a 10 minute inter-island flight), so small that I couldn't stand up, but it was clean and new. The flight was smooth, and non-eventful. The seats weren't comfortable, and there were arranged in a two-one layout. The plane's livery needs a mention - it was one of the best I've seen.",Family Leisure,Economy Class,SEZ to PRI,August 2015,2.0,5.0,,,5.0,,5,yes,DHC6-400 Twin-Otter
26,air-seychelles,2015-01-13 00:12:00,,"Johannesburg to Praslin via Mahe with Air Seychelles. Our flight departure time was at 14h00 and the arrival time in Mahe very close to midnight. From Johannesburg the service was extremely slow as our trays were cleared more than an hour after the service commenced. I will not even comment on the food served as my tray went straight to their exit bin. The departure time from Johannesburg is clearly problematic if one considers the crew on duty had just come from Seychelles and with a turnaround of possibly an hour or less, they must have been on duty from very early morning. It would be interesting to know whether the same crew returns the aircraft or whether there was indeed another crew returning to Seychelles. If a different crew did duty on the return flight then their tardy service is unforgiveable. If the reverse is true, then surely their hours on duty exceeded the norm. For folk travelling from South Africa and seated in the economy class, sleep well the night before your departure. Do not try and extend your seat and then expect the passenger behind you to be happy having a stranger sleeping on their lap - when service starts you have to be asked to please place your seat in the upright position. On our return the menu was just as terrible - fancy being told they do not have the omelette which is first on their very fancy menu card and your choice is frittata or bread pudding for breakfast. The service was better, the crew were well trained but the noise from passengers and children was chronic, we at times wished their was an escape route and a parachute available. We have travelled to many destinations on various flights - longer flights do deserve the extra charges which we willingly pay, but never have we been so delighted to end our flight. Mahe Airport is in serious need of better seating and air conditioning - being the departure point from all the islands. Praslin Airport was cleaner and better equipped.",Couple Leisure,Economy Class,JNB to PRI via SEZ,November 2015,3.0,2.0,1.0,1.0,1.0,2.0,1,no,A330
27,air-seychelles,2015-01-12 00:12:00,,"Flew Air Seychelles from SEZ to BOM. Purchased an upgrade at the lounge in Mahe Airport - handled in a professional manner. Seat comfort ok for 4hr 30min flight. Entertainment was Etihad ebox so there was plenty of choice. Dinner served was excellent - fish roulade, chicken curry. South African sauvignon blanc was good. Friendly efficient crew. wifi and sms available. On time arrival into Mumbai.",Solo Leisure,Business Class,SEZ to BOM,December 2015,3.0,5.0,5.0,5.0,5.0,5.0,4,yes,A320-200
28,air-seychelles,2015-01-04 00:06:00,,We flew AUH-SEZ and return on Air Seychelles operated by Etihad Aircraft. The flights were both very empty with no more that 35 passengers on each sector. The flights left on time or even 30 minutes early as we found when leaving Victoria. The crew on both sectors were very friendly and professional. The quality of food was good on all flights and the crew continued to come round with water throughout the night. The entertainment was from Etihad's ebox selection which was very good and had an up to date film television and music selection on demand.,,Economy Class,,,4.0,4.0,4.0,4.0,,,4,yes,
29,air-seychelles,2015-01-02 00:05:00,,We flew JNB to Seychelles on 21 April and back on 1 May 2015. The Cabin was good and the seat comfort very good - not completely lie flat but very close and much more comfortable than Emirates Business Class. Service is what you would expect from Business class. Outward bound trip from Johannesburg was good. Nightmare was on Inbound trip. The flight departure time was 8am but at around 5pm the evening prior to the flight they sent an email out to the travel agents that they have moved the departure time 1 hour earlier. They didn't contact the customers themselves and no one with authority at Air Seychelles was available to talk to. For people on Mahe the 1 hour earlier departure wasn't the end of the world but for people on the outlying islands who relied on a regular ferry service there was no way to make our flight and flights for next 3 days were fully booked. In the end we had to charter a boat to get us to the airport on time we were the lucky ones - others missed their flight completely. It seems that customer service is not something Air Seychelles understands. The flight back was uneventful except that 2 of the seats in business class were out of order and that the cabin staff were extremely noisy talking non stop at high volume throughout the flight. Sleeping wasn't easy but they just didn't care.,,Business Class,,,4.0,3.0,0.0,0.0,,,5,no,
30,air-seychelles,2015-01-01 00:05:00,,I fly to Seychelles frequently and unfortunately as a Silver member of Etihad I fly Air Seychelles from Abu Dhabi to Seychelles. The services are terrible. Firstly they talk way too much all those announcements! From fasten your seatbelts to marketing their duty free it is in 3-4 languages. They start in English them French then Creole. Safety info presented in English and Arabic. Fasten seatbelts warning start with Chinese. The whole flight you listen to this nonsense. Entertainment system is very limited food is not great either. The most annoying thing for me is that as a Silver member I have never been able to upgrade with miles. They will not do it at the airport and even the manager on duty does not know how this is done I find it very annoying what is the point of being the frequent flyer then?,,Economy Class,,,3.0,2.0,2.0,2.0,,,2,no,
