,Subject,date_published,verified,review_text,type_of_traveller,seat_type,route,date_flown,value_for_money,recommended,aircraft,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,inflight_entertainment,wifi_&_connectivity
10,south-african-airways,2020-01-06 00:03:00,True,"On March 5, we were scheduled to depart at 1 p.m. from Livingston to Johannesburg on Flight SA49. But, without warning, the airline cancelled the flight, and all passengers were transferred to the swing flight SA9040/SA41, which we had to fly from Livingston to Victoria Fall, and only then to Johannesburg. Since we had to catch a flight from Johannesburg to Istanbul at 7:15 p.m., we requested confirmation of the cancellation of the flight in order to return the money, buy other tickets and fly off a normal flight of another airline, British Airways. A Nsw representative from SA refused to do so, assuring us that we would arrive in Johannesburg just 1.5 hours later than the originally set arrival time (15:15 instead of 14:45). That was still enough to catch our plane from Johannesburg at 7:15 p.m. We were denied the return of tickets and sent to board the plane, where we and other passengers were simply blocked for several hours. The plane did not take off at 2 p.m. or 3 p.m. First they sorted the luggage, then it turned out that they did not have a flight permit to fly to Victoria Fall. At the same time, we were not allowed back from the plane and were physically deprived of the opportunity to fly on a flight of another airline, British Airways, which took off from Livingston on schedule at 13:30 and arrived in time for Johannesburg. As a result, we flew to Johannesburg at 6:25 p.m., 3 hours 40 minutes late than the scheduled arrival time. Despite the assurances of the crew that we would be helped to board our flight at 19:15 through the transfer corridor, this was not done. We were just escorted out of the plane and dumped at the airport. When we independently found the South african Airways office at Johannesburg airport and asked us to issue a certificate about the late arrival of the flight due to the fault of the airline, we were rude, our passport was taken away and did not want to give it away. To get the document back, we had to call the police. After that, immediately returned the passport and issued the required certificate. As a result, we lost our flight to Istanbul at 19:15, were forced to purchase tickets for alternative flights at our own expense. One of the passengers became ill at the SA (South African Airways) office, but the spokeswoman refused to call a doctor. The reason for the situation was the greed of South African Airways, which instead of two planes (the airline sold two flights to Johannesburg - from Livingston and from Victoria Fall) sent one plane, which was supposed to gallop around Victoria Falls, picking up and unloading passengers of two flights. At the same time, the airline did not even have permission to fly under such a scheme, but knowing that the flight in time is impossible, denied passengers their law the right to return tickets and tricked them to the plane, which was doomed to fly with great delay. The fact that the airline has problems is already written in the media. But perhaps it's time to stop selling tickets for flights that no airline is going to perform? We are preparing to sue for compensation for late services, denial of the right by law to a forced return of an cancelled/altered flight, and for leaving a passenger in danger in a state threatening his health, an official of South African Airways and refusal to call for medical assistance. We hope that Star Aliance, of which South African Airways is a member, and IATA will also pay attention to the situation.",Solo Leisure,Economy Class,Livingstone to Johannesburg,March 2020,1.0,no,,1.0,1.0,,1.0,,
11,south-african-airways,2020-01-29 00:02:00,False,My wife and I booked and paid for exit row seats 70 days before departure for the 15 hour flight from JFK to South Africa. We were notified at the gate that we were not in exit rows and not even in the same row. We both had middle seats. When we complained we were told there was nothing to be done. The wouldn’t refund our charges and we are still jumping through hoops. There is absolutely no customer service.,Couple Leisure,Economy Class,New York JFK to Johannesburg,February 2020,1.0,no,,1.0,1.0,,1.0,,
12,south-african-airways,2020-01-29 00:02:00,False,"Frankfurt to Cape Town. It's not a review of a flight but about customer care before the flight. SAA canceled my flight, bought two weeks before. Considering it was a multi-track flight (6 flights) i booked all the seats, but after the cancellation of two of these, they erased all the booking seats. I asked to proceed to re-book the seats for free, because I already paid for them. I contacted the customer care on twitter and one operator was good and wrote me he/she rebooked all the 4 SAA flights. After 3 days the seats seems not yet booked and I'm trying again to have an answer from them on twitter, without success. I'm really disappointed.",Couple Leisure,Economy Class,Frankfurt to Cape Town,February 2020,1.0,no,,,,,,,
13,south-african-airways,2020-01-13 00:02:00,False,"Maputo to Perth via Johannesburg. Two great flights. Maputo-Johannesburg: The A320 is a brand aircraft with the new cabin. The seat is a comfortable leather, similar to the ones on the A330-300. The crew were really friendly. We had a delay leaving Maputo because our engines wouldn’t start due to a faulty APU. The captain and first officer were very nice and told us the situation. Johannesburg-Perth: The A340-300 was showing it’s age. I believe our plane was made in 2003. The economy seats were a bit old but comfortable. There was lots of legroom for the 8hr flight. The food was great and the service was amazing. The entertainment system was quite old but had up to date movies so you wouldn’t get bored. The two things I found a let down. The arm rest wouldn’t go all the way up due to the remote for the IFE situated there. Also how you couldn’t store any baggage during takeoff or landing if you are seated in the aisle. But all in all a great flight.",Family Leisure,Economy Class,Maputo to Perth via Johannesburg,September 2019,5.0,yes,A320 / A340-300,4.0,5.0,4.0,4.0,4.0,
14,south-african-airways,2020-01-15 00:01:00,True,"Cape Town to Johannesburg. Once again a very pleasant flight on SAA. The cabin crew was extremely professional and friendly. I fly many different airlines regularly and SAA ranks in my top 3 due to their excellent service. Their hard product may not be very competitive (still very comfortable though) anymore, but they surely make up for it in service and catering.",Solo Leisure,Business Class,Cape Town to Johannesburg,January 2020,5.0,yes,A330,5.0,5.0,4.0,3.0,,
15,south-african-airways,2020-01-09 00:01:00,True,"Washington to Accra. South African airways was the most affordable way for me to travel. If you are flying out of Washington, be mindful of your carry on luggage. All pieces of carry on luggage were weighed at least 3 times. If anything was over the limit, you were obligated to pay.  If you go with South African, expect bad behavior and rudeness.",Solo Leisure,Economy Class,Washington to Accra,January 2020,3.0,no,,3.0,3.0,3.0,1.0,,
16,south-african-airways,2020-01-07 00:01:00,True,"Johannesburg to Cape Town. I was skeptical given the strike that only recently ended but I was pleasantly surprised by the ease and speed of the check-in. The plane was on time and the ground staff were excellent. Boarding was beautifully done and quick. We had a bus gate but that's a small qualm. Seats are old but comfortable. There were warm smiles all through the journey from the cabin crew. Drinks were a bit late in being served due to turbulence but we were informed accordingly. When they did come through, I was able to get more than one beverage. We arrived on time and my luggage was intact. Will definitely fly SAA again.",Solo Leisure,Economy Class,Johannesburg to Cape Town,January 2020,3.0,yes,A320-200,5.0,4.0,4.0,4.0,,1.0
17,south-african-airways,2020-01-04 00:01:00,True,"Johannesburg to Cape Town. Good flight, very friendly service, helping and take care of customers. Good food, nice lounge before departure. Nice to fly with a friendly crew on board.",Business,Business Class,Johannesburg to Cape Town,January 2020,5.0,yes,A320,5.0,5.0,5.0,5.0,,
18,south-african-airways,2020-01-01 00:01:00,True,"Cape Town to Johannesburg. I've flown SAA over 50 times over the last 2 years, and without exception every flight has been on time. Crew have been consistently good. Now the moans, just flown on the A350 in Business, lovely aircraft, but 6 across in Business is not acceptable for a long haul flight these days, made worse by the fact that the seats on the A330-300 are 1-2-1 and are superb. There's no consistency. I travel to Europe regularly in Business and avoid SAA simply due to the seats on the older aircraft, they've been the same for over 15 years.",Couple Leisure,Business Class,Cape Town to Johannesburg,December 2019,2.0,yes,A350,2.0,4.0,2.0,4.0,,
19,south-african-airways,2019-01-21 00:12:00,True,"London to Johannesburg. I have been a SAA gold card holder for years and will always support them. However Mango their codeshare internal partner are another story, some times internal flight connections after a long haul are not available with SAA and I end up on Mango who honestly have a terrible ontime record I can’t remember the last one that was actually on time. Keep up the good work in the times of change ahead.",Business,Economy Class,London to Johannesburg,December 2019,5.0,yes,,4.0,5.0,4.0,4.0,4.0,
20,south-african-airways,2019-01-08 00:12:00,True,Durban to Johannesburg. Airplane delayed 1.5 hours. I waited longer than the flight takes and they will only give a coffee voucher after 2 hours. No wonder they aren't a profitable company. Late for a meeting. I would never again trust this airline.,Business,Economy Class,Durban to Johannesburg,December 2019,1.0,no,,1.0,1.0,,1.0,,
21,south-african-airways,2019-01-04 00:12:00,True,"Lilongwe to London via Johannesburg. Wonderful airline to fly on, the aeroplane is in great condition with so many wonderful things available to the customer. Staff are very attentive and would make any other top class airline shy with how they ensure professional attention. Food is great and tasty. Seats are a little small but okay.",Business,Business Class,Lilongwe to London via Johannesburg,November 2019,4.0,yes,A330-300,3.0,5.0,5.0,4.0,5.0,
22,south-african-airways,2019-01-03 00:11:00,True,Lubumbashi to Johannesburg. Lately the delays have been ridiculous. Waiting for my flight to leave at 11:45 and left at 16:45. Wont issue again a ticket with them for sure!,Business,Economy Class,Lubumbashi to Johannesburg,November 2019,1.0,no,,1.0,,,1.0,,
23,south-african-airways,2019-01-03 00:11:00,False,"Washington DC to Dakar. I purchased a round trip ticket to Senegal, West Africa for $2089 on July 28, 2019 for departure on August 9, 2019. A few weeks after I arrived, I was notified that South Africa Airlines was no longer offering service to Senegal. I had to travel four hours one way to Dakar to visit the South African Airways office. That was on September 19, 2019. Once I arrived at the office, I was offered to re-route my flight to Belgium with Brussels Airlines, which was not my choice because it interfered with my connecting flight once I returned to the United States. I would have to return a day earlier than that connecting flight, and I was told that was the only option available to me. South African Airways did nothing to assist me with getting an earlier connecting flight nor did they offer to give me a hotel or compensation for the inconveniences they put me through.",Solo Leisure,Economy Class,Washington DC to Dakar,October 2019,1.0,no,,3.0,5.0,4.0,1.0,4.0,4.0
24,south-african-airways,2019-01-28 00:10:00,True,"Johannesburg to New York. SAA are currently on a survival austerity campaign that is now reflecting in their Business class service and offerings. No longer do they offer pre dinner drink service and the finer parts of their service have been jettisoned. Salt & pepper cellars are packeted; the range of wines are weird - 2 chardonnays in a choice of 3 wines; no after dinner chocolates; breakfast no longer includes cereals, fruits and a main course. You now have to choose one of these 3.  For a Usd 7000 airfare these penny pinching cost savings will not save the airline but will rather ensure its ultimate demise.",Couple Leisure,Business Class,Johannesburg to New York,October 2019,2.0,no,A340-600,5.0,4.0,1.0,2.0,1.0,1.0
25,south-african-airways,2019-01-28 00:10:00,True,"Cape Town to Perth via Johannesburg. I broke my arm and needed to return to Perth for operation. When I requested a more comfortable seat on check in the staff complied. On boarding I discovered she had seated me next to toilet in a non recliner. The staff refused to attempt any change, a man stepped in and offered his seat.",Family Leisure,Economy Class,Cape Town to Perth via Johannesburg,October 2019,2.0,no,,2.0,1.0,2.0,2.0,2.0,
26,south-african-airways,2019-01-10 00:10:00,True,Perth to Johannesburg. I do not sleep well on flights and rely on Entertainment System to occupy me. Sometime after take-off the Entertainment System was turned on. Some airlines turn on the system after un-docking from the terminal. Immediately there were issues with the sound being disjointed. Soon after (within 15 mins) I asked a stewardess about the problem. She said she would get back to me – BUT never did. The Entertainment System was unusable for the flight. This is unreasonable. Not once was any announcement made about the fault in the system. On leaving the plane I complained to a steward at the door and was told to complain to someone. I have email SAA Customer Service and completed this review.,Solo Leisure,Economy Class,Perth to Johannesburg,September 2019,2.0,no,?,3.0,2.0,2.0,2.0,1.0,
27,south-african-airways,2019-01-06 00:10:00,False,"Johannesburg to Dar es Salaam with South African Airways. The cabin crew on this flight seemed like they did not want to be there serving the passengers. There were instances where the staff seemed agitated by some of the requests of the passengers in front of us, and were very unprofessional and borderline rude.",Business,Economy Class,Johannesburg to Dar es Salaam,October 2019,3.0,no,,2.0,1.0,2.0,3.0,1.0,
28,south-african-airways,2019-01-03 00:10:00,True,"Johannesburg to New York. I flew on SA203 and booked a seat in the last row as I knew there were empty seats beside it. Seat 74D. I have a back injury and sitting long haul is difficult, so I was hoping to be able to stretch a little. I fly this route regularly, and always book this seat if it is available, and pay to do so in advance. As soon as I reached my seat I noticed the tray tables in that row were down. The purser for Economy was standing there and said she would have to move me. I asked why. ""Because these seats are blocked off for the crew,"" she said. If they were blocked of how was I able to book that seat? And it is the seat I always book, I have never seen it ""blocked off."" I explained to her that I had booked it specifically and she just stared at me. I felt very uncomfortable. She then blocked off two window seats at the side with her own luggage, forbidding another paying passenger hoping to sit there during flight (15 hours). Her bag stayed on that seat during flight as well as during taxiing, take-off and landing, unsecured, and despite turbulence. Twice during the night another cabin crew member told me abruptly that someone would be sitting in my row as their entertainment system wasn't working (several do not). I did not object. But that person never materialized. So what is SAA's policy about this last row, and also about bullying passengers? Finally, the same purser and an older female cabin crew member who had been working forward, also spent a lot of time complaining audibly about another crew member whom the purser said she would ""like to stab in the back"", it was incredibly unprofessional.",Solo Leisure,Economy Class,Johannesburg to New York,October 2019,3.0,no,A340-600,3.0,1.0,3.0,4.0,2.0,
29,south-african-airways,2019-01-03 00:10:00,False,"Dreadful Business Class - Will never fly with SAA again. Previously one of top three airlines in the world SAA, Swiss Air and Singapore Airlines. Flew Perth to Johannesburg to Perth on old tired planes. The seats folded down and were lumpy like camping beds with a too short thin quilt to lie on, one small pillow and cover. Both seats did not initially work. The seat was much to short for my friend who is approx. 6 ft so he had to sit up most of the way unable to sleep. Most staff were indifferent and rude. Not one piece of fruit. This is not acceptable, we booked on Virgin and were disappointed.",Business,Business Class,Melbourne to Perth via Johannesburg,September 2019,1.0,no,,1.0,1.0,2.0,1.0,,
30,south-african-airways,2019-01-25 00:09:00,True,"Cape Town to Nelspruit. They did not call my name for last boarding. Checked in 2 hours early, had a problem with an airport cafe, came to board as gate was closing and they refused to put me on. Staff were aggressive, did not assist, expected more money for a different flight with no concessions made. Unprofessional and unpleasant.",Solo Leisure,Economy Class,Cape Town to Nelspruit,September 2019,1.0,no,,,,,1.0,,
31,south-african-airways,2019-01-22 00:09:00,True,"Johannesburg to Mauritius. Flying South African in coach is a flash back to the 80's. Food (appetiser and main hot meal) was good compared to other airlines on a 4 hour trip. The service was very nice, and the bar well stocked. The seat had a lot of legroom (at least 33"") for a person as tall as me (6'2""). The only downside was the entertainment, small scratched screens.",Couple Leisure,Economy Class,Johannesburg to Mauritius,September 2019,3.0,yes,A340-300,5.0,5.0,4.0,4.0,2.0,
32,south-african-airways,2019-01-22 00:09:00,True,"Mauritius to Johannesburg. This is one of the older aircrafts that South African Airways has, an Airbus 340 with a configuration of 2-2-2 in business. I really like the A340's as they are very silent and safe (4 engines). Although there is not much privacy between you and your neighbour, the space between the rows is humongous: even if the person next to you sleeps, you don't need to step over her/him. The airline provides you with a mattress, a duvet as well as a big pillow. The food is nothing special for a 4 hour flight, but decent. The cabin crew are very friendly and answers any request promptly, However on this flight the service was rushed: you don't have time to finish your drink before they come with the meal trolley.",Couple Leisure,Business Class,Mauritius to Johannesburg,September 2019,3.0,yes,A340-300,5.0,4.0,5.0,4.0,2.0,
33,south-african-airways,2019-01-18 00:09:00,True,"Bloemfontein to Johannesburg. I am appalled by the horrendous service I received. I went to the airport in Bloemfontein with at least two hours to spare before we started boarding. Initially my flight was going to be at 5:00 pm and I would arrive at JHB international airport at 5:55 pm. However after not letting me know the flight had changed or even offering an earlier flight option I was told there is nothing they can do and the flight is delayed by half an hour. Because I needed to make a flight in JHB to Atlanta which is at the opposite side of the terminal I pleaded for reconsideration and nothing was done to help. We left at 5:40 pm and arrived at 6:50 pm however my connecting flight was at 19:51 and I was suppose to board at 19:00.  Arriving at JHB airport no one was even willing to usher me to where I needed to be to make my flight in time. This caused me to run from arrivals to international departures (no one able to be any help), having to rudely jump the ques to attempt to make my flight on time and getting to boarding soaked in sweat. I feel this was so uncalled for and very unprofessional.",Business,Economy Class,Bloemfontein to Johannesburg,September 2019,1.0,no,,2.0,2.0,2.0,1.0,,
34,south-african-airways,2019-01-03 00:09:00,True,"Hoedspruit to Cape Town. Hoedspruit is a nice small airport with an indoor terrace. The flight experience was overall OK for a 2h30 flight. The real issue I had was with the booking. I received a confirmation for a wrong date, then called the customer service right away and they never agreed to make a change without a 25% penalty fee. Very frustrating considering there was a problem with the booking system. I'll never book with them again.",Family Leisure,Economy Class,Hoedspruit to Cape Town,July 2019,1.0,no,,3.0,3.0,2.0,5.0,,
35,south-african-airways,2019-01-09 00:08:00,True,"Johannesburg to Hong Kong. As we got on the flight we noticed on my pillow there was blood, and our entertainment system did not work! I feel it is totally unhygienic. After telling the flight attendant about the pillow she just grabbed one from an open seat and did not even apologize. I will never use this airline again.",Couple Leisure,Economy Class,Johannesburg to Hong Kong,August 2019,1.0,no,,1.0,1.0,1.0,1.0,1.0,
36,south-african-airways,2019-01-03 00:08:00,True,"Maputo to New York via Johannesburg.  The entertainment system glitched throughout the entire flight to JFK and the seat function controls didn't work several times throughout the 17-hour flight (for up to 15-20 minutes per glitch period). Some people were stuck in a reclined position while others were stuck upright when it was time to sleep. On the returning flight, the TV screens were hardly responsive to touch and were very frustrating to use. The seats are hard and uncomfortable, if a passenger is seated next to a window, they can't step around or over their seatmate when the latter is in a reclined position. This means they have to wake up their seatmate to go to the bathroom, etc. The seat spaces are fairly cramped. For both SAA flights, I had to store my handbag in the overhead compartment for takeoff and landing. On the flight to JFK, they ran out of eggs for breakfast. This has never happened to me before. On the return flight for lunch, they ran out of salmon.  On the departing flight, the flight attendant took away my untouched serving of butter and then, when I asked for butter later, said that each passenger is allocated only 1 serving of butter.  Apart from the desserts, I found the food  not that much better than what's served in economy class. For most of the departing flight, there was  one overworked flight attendant serving our section, which meant that the service was very slow and they were not always prompt and sometimes forgot to offer hot towels, blankets, etc. I must say that my returning flight was much better in terms of service, quality, food, etc.) The lounge in OR Tambo is okay but a little chaotic, and the food looked unappetizing.  The SWISS lounge for SAA business class flyers in JFK is awful. The food was okay, but the atmosphere was cold and staff were rude and distant.  In general, the business class experience was certainly not worth the price of the tickets.",Solo Leisure,Business Class,Maputo to New York via Johannesburg,May 2019,1.0,no,,2.0,3.0,3.0,2.0,2.0,
37,south-african-airways,2019-01-31 00:07:00,True,"SA 260 on 29 July from Johannesburg to Frankfurt. About 30 minutes into flight, electricity went out and did not came back on for 10hr duration of flight. The air hostess was extremely rude and unhelpful. They did not notify the passengers as to what was the cause/reason for the black out. When asked, I was told ‘We will not notify the passengers as it is a safety precaution’.",Couple Leisure,Economy Class,Johannesburg to Frankfurt,July 2019,1.0,no,,1.0,1.0,1.0,1.0,,
38,south-african-airways,2019-01-13 00:06:00,True,"Cape Town to Sao Paulo via Johannesburg with South African Airways. Worst airline ever. Disorganized, not very clean. Very old in every way. Very noisy, seats uncomfortable, little service. Food more like coach. Can’t believe I used lots of points for this experience. Worst business trip ever. Love Africa but need a better way to get there.",Solo Leisure,Business Class,Cape Town to Sao Paulo via Johannesburg ,June 2019,1.0,no,,1.0,2.0,2.0,1.0,2.0,
39,south-african-airways,2019-01-13 00:05:00,True,"London to Harare via Johannesburg. Left on time, seats uncomfortable for a long flight, but aircraft not full. Dinner served, beef stew, followed by breakfast at the end of the flight. Cabin crew disappeared during the flight. A319 from Joburg to Harare no empty seats. Served a snack which was an inedible cheese roll. Departed Harare on Airbus 320-more room on return flight and served a midday meal- tasty and good service on such a short hop to Johannes burg. A330 from Joburg to Heathrow a newer plane with much more comfortable seats than the outward flight. Served an evening meal which was not as good as the outward flight then cabin crew disappeared - turbulence so no hot drinks could be served. Went to the galley to get a coffee, obviously this is an unwanted intrusion on crew space, did not get the coffee. Breakfast was later served- an amorphous puddle of yellow calling itself an omelette. Saving grace was the female cabin crew who served us, very hardworking, efficient and cheerful.The pilot was good at communicating with the passengers as we went along.",Business,Economy Class,London to Harare via Johannesburg,May 2019,4.0,yes,A330 / A319,2.0,3.0,3.0,3.0,,
40,south-african-airways,2019-01-24 00:04:00,True,"London to Cape Town via Johannesburg. I just wanted to say how impressed we were with South African Airways. The staff at the check in desk and the cabin crew were very helpful, professional and friendly. The plane and its seats were very comfortable and extremely clean. This is in comparison to British Airways. The food was also very tasty. Overall we had very enjoyable flights. Well done SAA and we look forward to fly with you again. Thank you!",Family Leisure,Economy Class,London to Cape Town via Johannesburg,April 2019,5.0,yes,,5.0,5.0,5.0,5.0,5.0,
41,south-african-airways,2019-01-18 00:04:00,True,"Johannesburg to Maputo. I like SAA, and they are always punctual. What I take exception to is their business class cabins on the A319 aircraft with 5 across seating, noticeably different to their A320s with only 4 across. SAA should not be selling the middle seat to ensure conformity. As the airline is struggling financially, I would have though it can't afford to alienate premium customers, but henceforth, if a flight is operated with an A319, I'll downgrade to Economy and save a small fortune. Serving lunch at 0930 in the morning is silly. Most passengers wanted tea and coffee and the crew had a trolley full of wine and champagne. Net effect, the crew really struggled to effectively serve hot drinks to a full cabin, they did just about manage, but it's obvious here whoever makes the catering decisions at SAA has done so to make his/her life easier, not the crew or the passengers.",Business,Business Class,Johannesburg to Maputo,April 2019,2.0,yes,A319,1.0,5.0,4.0,3.0,,
