,Subject,date_published,verified,review_text,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,value_for_money,recommended,wifi_&_connectivity,inflight_entertainment
10,egyptair,2021-01-08 00:01:00,True,"I feel obliged to write a review about the Business Class facility on Egyptair. I am totally disappointed with the type of service provided especially when I paid a lot of money to travel Business Class! My comments - 1) The boarding facility at Abu Dhabi airport was total confusion! As a Business Class traveller I had to go to the boarding counter and ask to be boarded. 2) The inflight service provided from Abu Dhabi to Cairo was less than acceptable especially the food provided and no follow ups. Every time I asked for something I was looked at as if I had annoyed the crew! 3) The inflight service provided from Cairo to Abu Dhabi was no different from the above. I had to ask 3 times for a blanket and pillow! And the food!! Well.... I would get better food at McDonalds! No coffee or tea offered, just a bottle of water and an option between orange juice or water! I am totally disappointed with Egyptair and would strongly recommend anyone wanting to travel to Cairo to fly with another carrier especially when you pay extra for business class service and you don't get it.",MS916,Solo Leisure,Business Class,Cairo to Abu Dhabi,January 2021,3.0,1.0,1.0,1.0,1,no,3.0,2.0
11,egyptair,2021-01-02 00:01:00,True,"Flight attendants are not prepared at all in managing and organizing the flight and the passengers. I had a problem in sitting in my seat and they handled the situation in a very unprofessional way. I had the feeling that they wouldn't care if I travel standing in the aisle and not sitting during the 10 hour flight and I’m not over reacting! The flight attendant refused to give me his name then after I insisted he gave me his name and dared me to file a complaint against him! They treat Egyptian nationalities really badly. Moreover the plane was not clean at all especially during the COVID pandemic which is not acceptable. You find used napkins in between the seats from previous flights! That’s not all, they lost my 2 pieces of luggage in New York and they are still searching for it.",,Solo Leisure,Economy Class,New York to Cairo,December 2020,2.0,1.0,1.0,1.0,1,no,,1.0
12,egyptair,2020-01-30 00:12:00,True,"I asked when checking in if a bassinet would be available for my son and was told that it would. On both legs of our flight we were not placed close to the bassinet seats and were told, 'that's just the way it is'. We had to fight to get the seats by asking other passengers to swap with us or refusing to sit down until we were moved. On the Cairo-Heathrow leg of our journey two other passengers tried to stop airline staff from installing the bassinet and then insisted I stand up and move seats before it could be installed, thus waking my son. They then asked me to carry him for the last two hours of the flight as they were uncomfortable.  As a single parent I also needed a space to place my son safely whilst packing my bag or performing other tasks. When I refused to take down the bassinet the passengers were unpleasant and I became very upset. The captain of the flight took their side against mine and told me that, 'there is no problem, the only problem is that you are shouting'. I was left very angry and upset and received no apology. I will not be flying with Egypt air again under any circumstances.",,Family Leisure,Economy Class,Muscat to Heathrow via Cairo,December 2020,1.0,1.0,1.0,1.0,1,no,,
13,egyptair,2020-01-21 00:12:00,True,"I bought a ticket Madrid to Cairo. I requested a refund due to not being able to travel in March 2020. My ticket allowed a refund with a small penalty. 9 months have passed and I still have not received my refund. I have written many times to Customer Service. But they just say they will forward the problem to another department. I have called the assistance phone number, but they only put a recording in Arabic.",,Couple Leisure,Economy Class,Madrid to Cairo,April 2020,,,,,1,no,,
14,egyptair,2020-01-30 00:10:00,True,"Entered Cairo airport with efficient time to board flight. Was refused multiple times to be checked in online to receive electronic boarding pass. Since Cairo airport does not allow you to be cleared I couldn’t pass to the flight desk to receive boarding pass and check my bag. By time someone who understood English was able to understand me it was 11:24pm which they pointed me to business alliance. Once, they sent me to business alliance the guy who did not have on a mask stated what you want me to do!! Then by the time he decided to call after I was expressing the issues I have endured they informed him the gate was closed at 11:30pm. He stated he nothing he can do and shrugged his shoulders then said you can go to customer service. Walked over to customer service where a guy on his cell phone pointed me to the other windows who Pointed me back to the Egypt air customer service window. Eventually the guy got up and left since he wasn’t suppose to be there. The other guys said they don’t speak English and laughed in our Faces. I have never been to an airport and airline which just refuse to provide any assistance. Plane was not departing until 12:01am",,Family Leisure,Economy Class,Washington to Cairo,October 2020,3.0,2.0,4.0,1.0,1,no,,3.0
15,egyptair,2020-01-02 00:10:00,True,"Despite the generally bad reviews of Egyptair I decided to give it a try as the prices were low, but regretted my decision. The tray table had not been cleaned, seat was malfunctioning, armrest rusted. No entertainment on international flight.  To cap it all the airline misplaced my baggage, and I got my baggage a week later on my 2 week vacation. I had to purchase all neccesities on my own money and when contacted Egypt air for even a partial refund, they led me on a long process which eventually led to nowhere. In the end they stopped responding to my emails altogether. Rather pay a little more and get good service instead of being deceived by cheap air fares from Egyptair.",Boeing 737-800,Couple Leisure,Economy Class,istanbul to Nairobi via Cairo,February 2020,1.0,2.0,4.0,1.0,1,no,,
16,egyptair,2020-01-20 00:06:00,True,"Cancelled my booking without letting me know. I found out by accident while looking at my bookings to see if i could get an extra bag. I tried to phone their call center in Germany but the numbers dont work. I tried to email their customer support and i haven't recieved a reply. My mum had to phone them from Cairo. They told her they couldnt confirm whether the rescheduled flight would also be cancelled and that we are only allowed to re-schedule one time or we would have to pay for another flight. They cancelled the flight, then said if they cancelled again we would have to pay.",,Solo Leisure,Economy Class,Berlin to Cairo,July 2020,,,,,2,no,,
17,egyptair,2020-01-16 00:04:00,True,I was booked to fly from London to Douala via Cairo and EgyptAir did an excellent job to contact me fours days before my flight to inform me the flight was cancelled. I was directed to get to the ticketing agent to initiate a process to get a refund. It was been challenging to get adequate information from the agent that issued the ticket to me. I have made several attempts to to know the next steps to get this sorted out without success. I need to get a refund.,,Solo Leisure,Economy Class,London to Douala via Cairo,March 2020,,,,1.0,4,yes,,
18,egyptair,2020-01-21 00:03:00,True,"Cairo to New York. I had hesitated booking Egyptair because of many poor reviews of business class on routes. There were not any business class reviews for the non-stop Cairo to JFK. Much to my surprise the flight exceeded all of my expectations. The special ground check in took just a few minutes and the ground agent was courteous. Boarding was well organized and I was directed to my seat. There is no first class so this was a business class cabin. The plane felt new. The seat pods are spacious with plenty of storage space. There were blankets and pillows. There is a storage space with water as well as a storage space for headphone. They provide a nice amenity kit with a brush. The entertainment screen is large. There is an extensive selection of new releases as well as older movies. The entertainment system worked flawlessly. The flight attendants were very attentive. They check frequently to make sure my beverage was always full and asked if I have any special requests. The menu offered a nice selection of choices. The servings were plentiful although the quality was not up to the same level as my experience on other airlines in business class. And they brought all the servings on one tray although they did serve hot food separately. All in all, a very nice experience.",Boeing 787,Solo Leisure,Business Class,Cairo to New York,March 2020,5.0,5.0,3.0,4.0,5,yes,,5.0
19,egyptair,2020-01-20 00:03:00,,"Cairo to London. At Mansoura Egyptair Office I paid more than 10000 egyptian pounds to change the date of my and my wife’s tickets since the imminent suspension of airports because of Corona virus. Despite saying that changing travel dates is free, the staff were playing games,  and bargaining with customers to charge the largest amount if money. Initially they denied any economy seats left and asked for 23000 eg pounds per seat i.e. 46000 for 2 seats business class for only to change the travel date. When I complained to the manager I found out that there are many economy seats and asked to pay over 10000 per ticket i.e. over 20000. After arguing this was reduced to 10056 Egyptian pounds which I had no choice but to pay. This is illegal since the closure of the airports was the government decision and not a mind change. This is giving the company and the country bad name. I come across tens of angry passengers who would never recommend Egyptair to anyone. This is sad situation at a time other companies are helping their passengers.",,Couple Leisure,Economy Class,Cairo to London,March 2020,3.0,5.0,4.0,1.0,1,no,,
20,egyptair,2020-01-01 00:03:00,True,"They cancelled my booking from Nairobi to Cairo. Hours before my scheduled flight, I received an e-mail stating that my booking was confirmed but needed to check-in in the airport, once I tried to check-in the airport I was informed that my booking was cancelled and cannot board the plane. All Information they gave me, is to go to Egyptair’s website and contact them, the website has 100’s of numbers that do not answer. After 5 hour of trying different phone numbers, the number that worked was the UAE number. Important to say, that in the 10 hours that I was in the Nairobi airport trying to sort out my flight, the Egyptair office in the airport never opened and the Nairobi office in the city is closed on weekends. Worst customer service if something goes wrong with your flight.",,Couple Leisure,Economy Class,Nairobi to Cairo,February 2020,3.0,2.0,3.0,1.0,2,no,,3.0
21,egyptair,2020-01-28 00:02:00,True,"Dubai to Cairo. Long queue at boarding desk but checking was smooth,they had allotted our seat a day before journey and send the web boarding on mail, they had given us aisle and next to aisle. The aircraft seating configuration was 2-4-2, we wanted to change to window but as no window were available for 2 to seat together. But when we boarded found that no one was seating beside us means we 2 share 4 seats, that was comfortable. Flight departed and and arrived on time, aircraft was clean good leg room, breakfast was good, we selected for special (hindu) meal and it was provided. No alcoholic beverage on Egyptair. Good in flight service. Overall good experience and can fly again.",A 330,Couple Leisure,Economy Class,Dubai to Cairo,January 2020,4.0,4.0,3.0,3.0,4,yes,,3.0
22,egyptair,2020-01-28 00:02:00,True,"Flown last month between Cairo and Dubai,we arrived Airport around 3 and half hour before departure and check in was smooth,no queue at all. They mailed boarding with seat allotment a day before journey and it was window and middle seat for 2 of us so good. The flight departed half hour late but reach Dubai nearly on time. Though they have A330 on this route but on the day of our journey it was narrow body Boeing 737 so certainly leg room was less, but as it was just 3 hr flight so ok. Aircraft was clean and tidy, we had dinner at airport lounge so didn't had meals, only non alcoholic beverages are available on Egyptair. IFE was ok, surprised to see 3-4 hindi movies too. Overall decent experience.",Boeing 737,Couple Leisure,Economy Class,Cairo to Dubai,January 2020,3.0,4.0,3.0,4.0,4,yes,,3.0
23,egyptair,2020-01-12 00:02:00,True,"Guangzhou to Cairo. It was a long haul flight with full of tourist groups, the aircraft and facility were very old. 2 out of 3 PTV touch screens in my row didn't work well and you had to use the remote controller. Some cabin crew served drinks and food with one hand in the pocket and didn't look professional. There was only one choice of snacks between the meals: cheese sandwich. I think the airline should improve its facility a lot.",Boeing 777-300ER,Solo Leisure,Economy Class,Guangzhou to Cairo,January 2020,2.0,2.0,2.0,3.0,1,no,,1.0
24,egyptair,2020-01-31 00:01:00,False,Johannesburg to Cairo. I can honestly say my wife and I were pleasantly surprised at our flight experience. Staff were very good and attentive. Food was good - too much in fact. Aircraft in excellent condition and nice and clean. Overall a pleasant flight and would recommend Egyptair based on our experience .,A330,Couple Leisure,Economy Class,Johannesburg to Cairo,January 2020,5.0,5.0,5.0,5.0,5,yes,,3.0
25,egyptair,2020-01-31 00:01:00,True,"EgyptAir Business Class MS768 Barcelona to Cairo was bad. The seat was old and uncomfortable, it barely reclined and the footrest did not work. The entertainment system on my chair didn’t work. I had to change seats and even then, the sound had a hissing buzz and the screen so small that it was impossible to read or enjoy a movie. I asked for a seafood meal and I received a salad with four pieces of lettuce, two pieces of bread, fish and some fruits. Overall the meal was disappointing, but the fish fresher than normal on the same flight. The cost of the ticket is disproportionately steep because of the monopoly that the company has on the route. Given the vintage condition of the carrier, it should be priced as a no-frills low cost",,Business,Business Class,Barcelona to Cairo,January 2020,1.0,3.0,1.0,3.0,2,no,,1.0
26,egyptair,2020-01-28 00:01:00,True,"Athens to Johannesburg via Cairo. When flying with Egyptair one has to be aware that no alcohol is served on board. This can be a damper for some. It wasn't a major inconvenience for me. Its fleet is dated and their entertainment system is not up to date with the latest movies. However they have improved by leaps and bounds. The Manager at the Athens Airport was very helpful and accommodating. On board flight attendants were polite, friendly and helpful on all my sectors. In flight meals have improved tremendously and my starter entrée from Cairo onwards definitely could compete with the likes of Emirates. A very pleasant relaxing trip. Price wise cheaper than their competitors. Yes I will most definitely fly them again.",A330,Business,Business Class,Athens to Johannesburg via Cairo,January 2020,4.0,4.0,4.0,4.0,5,yes,,3.0
27,egyptair,2020-01-27 00:01:00,True,Toronto to Dubai via Cairo and they say you have to stay 16 hr in the airport or pay to upgrade your ticket and leave at 9 am.  Hotel accommodation is not included in the ticket I bought. Then I paid and got to the hotel on my own because there was no shuttle available yet. At the hotel was another surprise and no room available got to wait till a guest leave.,,Solo Leisure,Economy Class,Toronto to Dubai via Cairo,January 2020,4.0,4.0,2.0,1.0,3,no,,
28,egyptair,2020-01-15 00:01:00,True,"Dubai to Aswan via Cairo. I got an email on the day before about 12h prior my departing time to tell me the flight had been cancelled so my flight was postponed by 1 hour. Check in & baggage drop in Dubai was alright. When we arrived in Aswan my bag (1 out of 4) was left behind, we were told it happened because of little time (we had 4h connection). I was given 2 options: either I needed to come back about 23:30 - midnight, the time for next flight scheduled, so I could open my bag for them to check, however I would get no compensation, not even to cover taxi expenses. Or I provided the code so they could open by themselves and had it delivered at the hotel. As I had nothing of high value in my suitcase I opted for giving them the code. I finally got my bag around 2am, checked all the content and nothing removed but for my surprise they've changed the code and I'm now unable to lock it again.",,Family Leisure,Economy Class,Dubai to Aswan via Cairo,January 2020,3.0,3.0,3.0,1.0,1,no,,
29,egyptair,2020-01-12 00:01:00,True,Cairo to Dubai. Very disorganized and misleading information about check in desks. The staff I dealt with have poor English language skills. The good side is a new aircraft.,Boeing 787,Family Leisure,Economy Class,Cairo to Dubai,January 2020,3.0,3.0,3.0,1.0,1,no,,
30,egyptair,2020-01-09 00:01:00,True,"Athens to Cairo. Flight departed on time, on Boeing 737-800. Cabin was clean and the seat was very comfortable. There were IFE monitors but there was no entertainment playing, only music channels. Food was good and refreshments great. If they offer alcohol would worth Business class. Even though they are the only one on the route that offer real Business seating than Euro business.",Boeing 737-800,Couple Leisure,Business Class,Athens to Cairo,December 2019,5.0,4.0,3.0,5.0,4,yes,,1.0
31,egyptair,2019-01-26 00:12:00,True,"This airline does not operate 24hrs service. The customer service number is never reachable, when it rings nobody picks up. The customer service at the Cairo Airport is the poorest I have experienced.  The washrooms at the Cairo Airport is worse that public washrooms in most African countries. I am a very unsatisfied customer.",,Family Leisure,Economy Class,Lagos to Cairo,December 2019,3.0,1.0,1.0,1.0,1,no,1.0,1.0
32,egyptair,2019-01-24 00:12:00,True,"Really bad experience with Egyptair. Unfortunately we took a multi-city flight and both of them were not very pleasant. Staff are rude. First flight I was asked if I was using my pillow, so I said I will use it as it was a 5 hour flight, the air hostess took it from me and never came back with one. Second flight I saw how one of the air hostess was shouting several times and at different people to move from the corridor. Very rude and aggressive behaviour, just shocking. I was asked if I wanted chicken or beef but I was force to take beef because there wasn't more chicken. Flight back was almost the same, rude staff, missing food twice (Bangkok-Cairo-Madrid) I was asked: beef or chicken. I said chicken and I was told that my food was coming. After 10 minutes when everyone else was served, me and the lady next to me asked where was our food. They had forgotten and again was forced to take beef because they sold out all the chicken. Dreadful customer service, I won't ever fly again with Egyptair.",,Couple Leisure,Economy Class,Madrid to Beijing via Cairo,December 2019,2.0,1.0,2.0,3.0,3,no,,1.0
33,egyptair,2019-01-17 00:12:00,True,"New York to Nairobi via Cairo. We called multiple times and spent more than ten hours on hold, plus sent multiple emails into the void, trying to get a refund for my sister’s supposedly refundable ticket. We talked to the customer service agent at JFK, who referred us back to the web site and email — so we shouted again into the void. Weeks have passed. Still nothing. Then my priority tagged luggage did not arrive and I filed a lost luggage report. The web “tracker” still says check back later, and my address and luggage information are incorrect. I emailed their lost luggage department days ago but have received no response.",Boeing 787,Family Leisure,Economy Class,New York to Nairobi via Cairo,December 2019,4.0,3.0,2.0,1.0,1,no,,2.0
34,egyptair,2019-01-26 00:11:00,True,"Dubai to Cairo return both flights left on time and arrived ahead of schedule. Outbound was A330 an older plane which looks a bit tired on return was a brand new Boeing 787 with new leather seats and big 12 inch screens it’s a fantastic aircraft was so quiet during take off and landing which was very smooth crew were friendly and helpful but Egyptairneeds to look into the grooming standards of its employees as well as they need to change this uniform which in my opinion doesn’t reflect the legacy of the airline or the country . Food was ok, the entertainment IFE is with limited options not so many selections, however on the Boeing 787 they have live TV of Euronews and sky news I think Egyptair is having a come back and reviving itself well done MS",Boeing 787-9,Solo Leisure,Economy Class,Dubai to Cairo,November 2019,5.0,4.0,3.0,4.0,5,yes,,2.0
35,egyptair,2019-01-22 00:11:00,True,Abu Dhabi to Casablanca via Cairo. Flight was late leaving AUH by an hour for no apparent reason. The new A220 does not have business class seats so regardless of me having a paid business class ticket the seat was the same as the economy section. The late departure from AUH meant my bag missed the connection in Cairo. I had to return to Casablanca airpor At my own expense the next day to collect. Disappointing quality of service with no concern for passengers.,A220,Business,Business Class,Abu Dhabi to Casablanca via Cairo,November 2019,1.0,1.0,2.0,1.0,1,no,1.0,1.0
36,egyptair,2019-01-20 00:11:00,True,"Aswan to Cairo on a 3-month old Airbus A220-300 with Egyptair. Seats are hard and there was no IFE of any kind. No alcohol at all served on board. Cabin crew well-groomed and quite friendly. No announcements from the cockpit. Cookies and one round of drinks served during this 75 minutes flight. Departed and landed behind schedule. Wi-Fi available but did not work during the entire flight. Overall, an OK experience but not worth the price they charge for this route.",A220-300,Solo Leisure,Economy Class,Aswan to Cairo,November 2019,2.0,4.0,3.0,3.0,2,yes,,
37,egyptair,2019-01-17 00:11:00,True,"Bangkok to London via Cairo. Check in at Bangkok was quick with no queues in all classes. The new Thai lounge was right across from our gate, and is a big improvement from most of their lounges. The lounge is huge. Boarding was disorganised, with door A for economy and door B for business when normally it is the other way around, leading to confusion. There were also Egyptian security agents checking details at the gate in Bangkok. I received a warm welcome on both flights and found my seat. Bangkok flights really should get an aircraft upgrade. The A330 is not suitable for this route. The seats in business and economy are only mid-haul quality, but the flight is 10 hours long which makes it a long-haul flight. The seat on the 777 is much better. They’re both angle-flat seats, but the 777 has more pitch, which means your legs aren’t shoved into some tiny compartment under the seat in front. On the A330 this at least has the slight benefit of having the TV screen closer to you, unfortunately the headphone jack was not working. I didn’t mind as I caught some much-needed sleep. Entertainment was rather spoilt for choice but I don’t like the lack of action movies. The amenity kit given on both flights were an improvement from last year, with Aigner lotions and potions as well as some nicer amenities. Food wise; I had ordered a gluten free meal but the flight attendants came around with normal meals and asked if I would prefer to have those instead. All the food was really good but their starter should be more creative, the only appetiser choice was smoked salmon and prawns on all flights. Cairo has a large number of transit passengers, and you clear security at the gate before boarding which makes it a very easy transfer. The newer lounge called Alioth which recently opened is very preferable to the older lounges, namely Almesian. My seatmate used the latter and he described it as a crowded mess. My lounge experience was pretty good but nowhere near the best. My favourite bit about flying Egyptair is that their arrival time into Heathrow is the least busy time of the day, at 1pm, and immigration was deserted. I had a pretty good experience with Egyptair and they have improved a lot since last year and I have easily taken notice. I might consider taking them again in the future if they upgrade the equipment on the Bangkok route.",A330-300 / Boeing 777-300ER,Solo Leisure,Business Class,Bangkok to London via Cairo,November 2019,4.0,5.0,4.0,4.0,5,yes,,3.0
38,egyptair,2019-01-08 00:11:00,False,"In August 2019, Accra to Tokyo with a transit in Cairo only to arrive in Narita Tokyo with no luggage. I filed my missing luggage as soon as possible and received a mail indicating it will be worked on. That was the last I heard from the airline, I followed up with calls in Tokyo by myself and the concierge but never any response. There were hardly any attendants to even pick the call. I returned to Ghana still with no luggage or a credible response. I go to their office in Accra regularly only to be met with Empty desks. Their manager is barely in office and I still have no information on my luggage. It’s been almost 4 months now with no update or compensation. To think I was a business class ticket holder and experienced this mismanagement is appalling. I will never use this airline or recommend this airline to anyone. Very rude attendants in Cairo when I asked to follow up on the luggage during my transit.",,Business,Business Class,Accra to Tokyo via Cairo,August 2019,1.0,1.0,2.0,1.0,1,no,,
