,Subject,date_published,verified,review_text,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,value_for_money,recommended
10,ethiopian-airlines,2021-01-17 00:05:00,True,"We bought souvenirs (2 ebon giraffes) that we planned to transport as carry-on luggage, like we did many times before on our trips to Africa. We realise the items were slightly taller than carry-on limitations, but this was never a problem with other airlines in the past and other passengers had similar size souvenirs on board. At the check in counter, we were told that it is not possible to take the souvenirs on board and that we need to check them in. We told the employee that the items are very fragile and very expensive, he told us that the airline has separate containers for fragile items and that the souvenirs will not be damaged. We reluctantly agreed as we were not presented with any other options. On our arrival to Milan, we could immediately see that the package was handled with extreme negligence! The package was ripped od several places and it was obvious that the items inside were broken on multiple places. Now, they do not plan to make any effort to resolve the issue, even though the damage occurred solely because we followed their employee demands and assurances against our wishes.",,Couple Leisure,Economy Class,Addis Ababa to Milan,February 2021,3.0,1.0,3.0,,1.0,,2,no
11,ethiopian-airlines,2021-01-30 00:01:00,True,"Both flights were on time. The seats were in a 2-2-2 configuration, with no direct aisle access of window seats. Plenty of legroom but no privacy due to the rather old seating. Sufficient entertainment system with good amount of movies and music. No wifi at all on both flights because of the aircraft type (B787-8) Crew was helpful and courteous at all times. Food was average, probably because of the pandemic it was more like premium economy. All in all, i can say I had enjoyable flights with Ethiopian.",Boeing 787-8,Solo Leisure,Business Class,Athens to Sao Paulo via Addis Ababa,January 2021,3.0,4.0,3.0,4.0,5.0,,3,yes
12,ethiopian-airlines,2021-01-16 00:01:00,True,"Given the circumstances this was a near-perfect flight. It was an A350 with the old-style side-by-side seating which, if there is nobody next to you, is probably better than the new seats. Having slept on both within several days the old seemed more comfortable than the new. Boarding was quick and painless and I was quickly served with a glass of (almost) chilled champagne. Topping it up is always a nice touch. The cabin was very clean and the surfaces had clearly been wiped. The temperature was perfect throughout – warm enough for a good sleep. I opted for the fish and although it was served on a tray, it was on a dish with metal cutlery. It would have been nice to see a printed menu but I could understand why. The cabin and flight crew were meticulous in following covid rules and the toilets were kept spotless. One of the advantages of covid flying in near-empty business sections – and therefore less chance of being near a heavy snorer. There were occasionally bumpy patches but, unlike some airlines, the pilots did not resort to switching on the seat belt sign every time or leaving it on too long. There was really nothing that one could fault with this flight and, for the price and the timing, it offered excellent value for money. The only change the airline should make is offer business passengers free wifi.",A350-900,Business,Business Class,Addis Ababa to London,January 2021,5.0,5.0,5.0,,5.0,,4,yes
13,ethiopian-airlines,2021-01-15 00:01:00,True,Having received an email from the airline telling me I had to arrive at the airport FOUR hours before the flight I then waited an hour before staff arrived. They hadn’t a clue why we had received the email. Business passengers go through a separate entrance which I suspect was slower than the normal route. Two pleasant immigration officers spent an inordinate amount of time checking my exit form. The lounge was empty when I arrived except for the Ethiopian crew gorging themselves. The lounge has PIR-activated lights which kept on switching themselves off if no movement was detected. Equally annoying were the continual announcements that the country had banned the use an import of plastic bags in order to “save the environment”. All very worthy. Boarding was relatively quick with the ground crew insisting that everyone wore a mask. Again very encouraging – except many passengers had half-removed them before they reached the aircraft including a returning pilot sitting in business. The aircraft was a little worn but adequate. I received a warm glass of champagne but had to ask for it. Food was OK but not memorable. As we approached Addis I obediently complied with the cabin crew’s request to put my seat upright – but the pilot sitting in business evidently believed that the rule did not apply to her and remained reclined during landing.,Boeing 737-800,Business,Business Class,Dar es Salaam to Addis Ababa,January 2021,2.0,4.0,3.0,,1.0,,3,yes
14,ethiopian-airlines,2021-01-11 00:01:00,True,"Check-in at LHR was semi-chaotic with no distancing and a crush as passengers with huge amounts of baggage pushed their way through. There was no business priority lane. The only lounge open was Lufthansa’s uninspiring offering with beer or wine being served from a desk and a selection of food. Despite travel restrictions most LHR T2 travellers seemed to be retired couples. Boarding was slow with no priority for business but once on board it was a nice surprise to discover it had the new individualised seat layout. Cabin crew was quick to serve a glass of champagne and a refill. The movie selection was dire. Wi-Fi failed to connect to the satellite throughout the flight. The food choice was beef, chicken or fish and although it was served in a more premium economy style – a covid precaution – it was more than sufficient. The cabin crew was attentive in keeping my glass full. The flat bed was slightly narrow but not to extent that I was unable to sleep. Overall, this flight offered value for money and I arrived feeling relaxed.",A350-900,Business,Business Class,London to Addis Ababa,January 2021,4.0,5.0,4.0,1.0,2.0,,5,yes
15,ethiopian-airlines,2021-01-11 00:01:00,True,It was a nice surprise to find a 787 rather than a 737 that they often use on this route. Although it had an old-style side-by-side business seats the front of the plane almost empty and so it was not an issue. A glass of champagne was served very promptly and refilled – a nice trick other airlines should learn. The choice of food was limited to chicken or beef and I chose the former which came covid-style but with a pleasant couscous and prawn. There is no Wi-Fi on the aircraft and I did not check the movies. The cabin crew were efficient and pleasant.,Boeing 787,Business,Business Class,Addis Ababa to Dar es Salam,January 2021,4.0,5.0,5.0,,4.0,,5,yes
16,ethiopian-airlines,2021-01-10 00:01:00,True,"Online check in through the app very good. Luggage drop off in Athens, was a biut chaotic as there were a lot of people with excessive luggage on the counter line. The agents were very good though. The 1st flight was delayed more than an hour, however as I had almost 5 hours stop-over in Addis Ababa, this was not a problem. The flight was coming from Moscow and the majority of the passengers were from Russia. Almost full, however no-one next to me. Comfortable aircraft and seat and good food service (hot tasty meal). Cabin crew wear traditional Ethiopian dresses, which looks very nice and they are polite and nice, although strict regarding the wearing of masks (which they should be). Addis Ababa is a big hub, very busy in the morning that we arrived (although during covid times). A lot of aircraft arrive at the same time and many passengers have to catch connecting flights, this was done efficiently though. The airport is not particularly luxurious or extra comfortable, however not bad either. Would have preferred a shorter connection, however I knew about it when I booked it. The 2nd flight was on time, uneventful, another nice warm meal in a 2 hour flight. Landing smooth and collected luggage pretty quickly. This airline seems to do a very good job, is the leader in African aviation and competes well all major carriers - seems that they directly compete the Gulf carriers on many routes pretty well.",Boeing 787 / 767-300,Solo Leisure,Economy Class,Athens to Entebbe via Addis Ababa,December 2020,4.0,5.0,4.0,5.0,5.0,,5,yes
17,ethiopian-airlines,2020-01-28 00:12:00,True,I flew from Cape Town to Dubai via Ethiopia. The Dubai government website states a PCR test can be completed on arrival in Dubai. When I checked in at Cape Town airport Ethiopian airport staff did not request a covid test to board my first leg to Ethiopia. However I was denied boarding in Ethiopia as they informed me a PCR was required. I was forced to spend 2 days in Ethiopia waiting for a PCR test which was costly. I understand requirements need to be met but I’m deeply dissatisfied that the PCR wasn’t requested to board in Cape Town as the airline were well aware of my entire journey and end destination. When I raised the matter with the airline their only response was that it was mentioned on their website.,,Solo Leisure,Economy Class,Cape Town to Dubai via Ethiopia,November 2020,3.0,3.0,3.0,2.0,1.0,,3,no
18,ethiopian-airlines,2020-01-23 00:12:00,False,"We arrived at the airport well in advance, before 10:30hrs for a 13:40hrs flight. Their service was extremely slow; people started to pay agents working at the airport in order to jump the queues. They decided to stop accepting passengers very early. All the agents just disappeared and there was nobody to ask what was going on. The Airport Authority staff told us that this has been happening since Sunday 20/12/2020, and passengers are put on next day's flight, which makes them close early as all seats become occupied.  With the Covid-19 certificate being valid for 72 hours only; everything becomes so complicated. We don't know what Ethiopian Airlines agents will say tomorrow, neither do we know what the staff at Ministry of Health will say about the Covid-19 certificate. Ethiopian Airlines need to stop this practice.",,Solo Leisure,Economy Class,Kinshasa to London via Addis Ababa,November 2020,4.0,4.0,4.0,3.0,1.0,,4,no
19,ethiopian-airlines,2020-01-02 00:12:00,True,"We had 3 return flights booked and paid for in April. Due to Covid travel restrictions, asked for a refund via email. No response, so then a phone call to Australian office - told to phone head office in Africa. Emailed again and received reply with lots of exclamation marks saying 4-6 month processing time. Didn’t quite believe it was a genuine email, but 5 days later, all money refunded to my credit card correctly. Happily surprised, sad not to have been flying. Looking forward to a future African holiday.",,Family Leisure,Business Class,Singapore to Cape Town via Addis Ababa,November 2020,,,,,,,3,yes
20,ethiopian-airlines,2020-01-24 00:11:00,True,"I had read the reviews from other travellers in regards to this outfit and against my better judgement went ahead and booked two return Business class flights due to depart 27th November. Due to Covid further restrictions and to bear in mind the political violence escalating in Ethiopia we were in no position to fly. I have now called them 24 times to speak to anyone on this and no one has answered a call - I have emailed - no reply. When we try to go cancel on the site - it crashes - looks very like a case of we have your money, you don't exist. So after much chasing around my only option is to see if my bank can step in on the payment. Worst airline I have come across in 15 years.",,Couple Leisure,Business Class,Dubai to Zanzibar via Addis Ababa,November 2020,,,,,,,1,no
21,ethiopian-airlines,2020-01-21 00:11:00,True,My flight was cancelled on September 10 and they promised me to refund me within 10 days. After 10 days they said 2 more weeks. Next it was 4 to 6 months. I wonder what they will tell me next.,,Solo Leisure,Economy Class,Vienna to Zanzibar via Addis Ababa,November 2020,,,,,,,1,no
22,ethiopian-airlines,2020-01-19 00:11:00,True,"I had a booking with in April when the pandemic struck us all. They cancelled my flight. According to European regulations the airline need to offer a refund. Ethiopian Airlines never offered a refund, no matter how many times. It's November and I still haven't been able to get a refund for my tickets.",,Solo Leisure,Economy Class,Stockholm to Johannesburg via Addis Ababa,April 2020,,,,,,,1,no
23,ethiopian-airlines,2020-01-16 00:11:00,True,"I had booked my ticket from Nairobi to Athens via Addis Ababa and the airline cancelled my scheduled flight due to COVID. When the airline resumed flights and I went to change my ticket, I was informed that the price had gone up (to double in fact) and even though it was a ticket I had already paid for, I had to pay for it again.  24 hours before departure I tried to check in online, but only the first part of my flight was available for check in. When I arrived at the airport ET had cancelled my flight from Addis to Athens, without notifying me, and had also booked me to fly 24 hours later, meaning I had to spend a day in Addis and arrive to my destination with 36 hours delay. The only way for me to reach my destination on the day i had planned (which was important) was to fly via Rome, adding 9 hours to my trip, and a lot more risk of contracting COVID, as i had to wait for hours at the airport and later fly with a plane that for some reason was crowded in the front half, while the second half remained empty. My trip lasted a total of 21 hours, and cost 1100$. My husband flew a day later with Lufthansa, and was there 12 hours later, having paid 600$. when I complained about this and requested to be refunded the difference I paid, someone replied  'Please kindly note that whenever schedule change or routing change occur we understand as our passengers’ plan may be disrupted but sometimes such decisions are necessitated due to operational or unforeseen circumstances'. After having flown with this airline a few times, I have come to the conclusion that it's ok to fly with them if if everything goes smoothly, but if something goes wrong and you need assistance and customer service, they become the worst.",,Couple Leisure,Economy Class,Nairobi to Athens via Addis Ababa,September 2020,2.0,2.0,2.0,2.0,2.0,,1,no
24,ethiopian-airlines,2020-01-16 00:11:00,True,"Boarding was done efficiently – we were in zones and to prevent the inevitable attempts at queue-jumping staff were there to tell people to go to the back on the line. Masks were obligatory but social distancing was not. The aircraft was exceptionally clean and many of the seats in economy were empty – which is always a recipe for a pleasant flight. Toilets were clean. There was a broad selection of movies and the aircraft had decent screens. The only problem is that the controls are mounted in the arm rests which meant that occasionally the movie would freeze as your arms brushed against the panel. The flight was slightly delayed but arrived on time. Food was served promptly – a choice of beef or chicken with a roll, crackers, cheese and a biscuit. Although nothing special it was more than adequate. There was more wine if you asked. On landing at LHR there was the usual long walk at T2 and then delays at the eGates as passengers wondering why they were not working while they were wearing masks. The bags also took a long time to load onto the belt. Having flown on a 787 and then an A350 in quick succession, with identical seats, the latter would be my preferred aircraft: the flight seemed smoother and quieter and it simply felt better. Given the cheapness of the ticket this flight offered incredible value for money especially as it included one hour free wifi.",A350-900,Solo Leisure,Economy Class,Addis Ababa to London Heathrow,November 2020,4.0,5.0,3.0,3.0,5.0,5.0,5,yes
25,ethiopian-airlines,2020-01-09 00:11:00,True,"Heathrow Airport is operating in lockdown mode and therefore check-in and security were very quick. Most of the restaurants were closed, although it was possible to buy some drink and food to be eaten on the chairs. Boarding the aircraft was done efficiently and it was about half full which meant that I had three seats to spread across. The cabin crew were pleasant and professional. The food was served in a box with a choice of chicken or beef. There was no problem with asking for another small bottle of wine or beer. We left on time and arrived slightly early. The aircraft was wi-fi equipped with one hour free access and a modest fee after that. The connection was remarkably fast. Given the price of this flight it offered great value and, with the lack of passengers at the airport and on the plane, was arguably a more pleasant journey than in pre-lockdown days.",A350,Business,Economy Class,London to Addis Ababa,November 2020,4.0,5.0,3.0,,5.0,5.0,5,yes
26,ethiopian-airlines,2020-01-08 00:11:00,True,"Packed A359 from Dubai to Addis. Cabin temperature too warm, WiFI not working. Cabin crew very nice and attentive, meal was a typical C19 box with dry items and a hot casserole. Dry items were horrible, some small red beans salad in a sauce, bread hard as a rock. Crew apologized and brought a fresh bun. I guess ET assumes all their passengers like spicy food. Ethiopian proud itself on SAFE operation due C19, but on the ground they start boarding before the cabin is ready, so the jetway is packed, passengers on top of each other. Forget Social Distancing. Upon landing in Addis, passengers get up while the aircraft is still taxiing. Cabin crew tried to control the crowds, but to no avail. I forgot my BOSE headphones onboard,but trying to get assistance in the terminal was impossible. I was told “ to find an agent with a radio to call the plane”, but none had a radio. Our flight to Tel Aviv was delayed 3 hours du to some excuses about the ‘Air Space’ being closed in Ethiopia. That didn’t stop other flights to take off. Luckily we left after 3 hours (at 3am rather than 2355) Again that horrible box with spicy chicken, but we were all just happy to be out of Addis Ababa. Their cabin crew is the only good thing going for ET.",A350-900 / Boeing 777-200,Solo Leisure,Economy Class,Dubai to Tel Aviv via Addis Ababa,November 2020,2.0,4.0,1.0,2.0,1.0,1.0,2,no
27,ethiopian-airlines,2020-01-19 00:07:00,True,"Frankfurt to Addis Abba on 05th July 2020. I had originally booked an economy class seat, but decided to upgrade to Cloud Nine as I wanted to relax and enjoy my flight in comfort.The check-in gentleman in Frankfurt was friendly and processed my $580 upgrade fee. No mention was made about any change in onboard service. I was directed to the Senator lounge at Frankfurt airport where I was horrified to find every single business class passenger flying that evening, attempting to squeeze in the few seats available. If the other lounges in Frankfurt are closed due to Covid-19, then having masses of people cramming into one lounge is a major mistake, as it puts a large number of people crammed together into one small lounge. Rather have several lounges open with a limited restriction on number of guests allowed at a time. Boarding went smoothly.  The seat on the 787 was as expected. Comfortable, but unfortunately that is where the pleasant onboard experience ended. I realise that there may be concerns of the Covid-19 virus and how to handle on-board service, but I had just flown on a Lufthansa connecting flight from Lisbon, and i was given the full Business class experience as normal.  Firstly, no hot towel served. No menu. Inflight entertainment not working.  Seat charging ports not working. Economy class tray and food served in business class. Shocking quality of food for business class. Breakfast was cold and severed in a economy class tray and I found out it was the same meal offered in economy class! Toilet behind seat 5L, not flushing. Crew did not wear gloves at any time during service. How is Ethiopian Airlines charging me a full upgrade cost when the product I am receiving is not business class in any way. Only the seat was business class. Nothing was mentioned about the lack of service onboard this flight. They offer business class as a whole experience and product. I tried to call their global customer service number in Addis Abba and waited for over 6 hours on hold before the calls being cut off! They said they i was ""Next in line"" to be answered for over two hours! each time. It is wrong to use the Covid-19 threat to still charge business class fares but bring down the level and items served in this class.  If you want to cut services offered then you should cut the cost of the business class fares to reflect this.",Boeing 787,Business,Business Class,Frankfurt to Addis Ababa via Lisbon,July 2020,4.0,1.0,1.0,1.0,3.0,,1,no
28,ethiopian-airlines,2020-01-12 00:07:00,True,"Ethiopian is an all-around great airline that definitely deserves its status as Africa's leading carrier. For a two hour flight, we even got a full meal, something you'd never get in economy class in the US. They also had a nice cabin with comfortable seats, and there was a new stream to your device entertainment system. However, it's a shame that such a great airline is saddled by such a terrible hub airport like Addis Ababa, which is currently undergoing a renovation that doesn't seem to have changed the problem of congestion and lack of jetbridges. Luckily, this flight departed in the afternoon, as Addis Ababa gets even crazier during the late night hub hours. Boarding was chaotic, which is the norm on Ethiopian, but the arrivals process at NBO was actually decent, as Ethiopian uses Kenya Airways' much more modern wing of the airport for arrivals. Anyways, great flight, but mediocre ground experience.",Boeing 737,Solo Leisure,Economy Class,Addis Ababa to Nairobi,January 2020,5.0,4.0,5.0,3.0,2.0,3.0,4,yes
29,ethiopian-airlines,2020-01-21 00:05:00,True,"I believe that Ethiopian airline has been very unfair with its refund policy during this corona virus pandemic period. It has advertised that a ""full refund"" will be issued to customers whose intended flight fell between March and June 2020. However, this refund will be in the form of a voucher. This means that the airline has tied up my travel funds and I have no other option but to travel with them when the airports open. The airline has stated that if I want a cash refund, a $300 penalty apply. The airline has refused to issue a cash refund without penalty as it was the airline that went ahead to cancel my flight. They have refused to offset the value of the existing ticket against repatriation costs and I have been backed into a corner where I have no other option but to wait till the airports open (hopefully my visa does not expire before then) and travel with Ethiopian air.",,Solo Leisure,Economy Class,Lagos to Toronto via Addis Ababa,June 2019,,,,,,,1,no
30,ethiopian-airlines,2020-01-18 00:05:00,True,"I had booked a ticket with Ethiopian Airlines, which got cancelled due to the extension of Covid-19 Flight Restrictions. I contacted the Airline customer support via email and was advised there would be a USD300 fee applied to the refund of the ticket. This is despite the ""Free"" refund condition advertised on the airline website during the online ticket booking process.",,Solo Leisure,Economy Class,Toronto to Lagos via Addis Ababa,May 2020,,,,,,,1,no
31,ethiopian-airlines,2020-01-27 00:04:00,False,"Missing Suitcase - Positive Result. My Wife was in SA when the Lockdown was announced - Virgin summarily cancelled her return flight (am STILL waiting to hear from them re getting back here, even though she has been home for a month) To get back she bought a ticket with Ethiopian Airlines, via Addis Ababa. The flight was great, good service, excellent planes and staff and a pleasant flight all round. Down side was that her suitcase didn't arrive - it wasn't put onto the plane in Johannesburg. Having notified the powers that be at Heathrow - with NO success, I wrote to Ethiopian Airlines directly. Immediate response from the highest level and a string of follow up emails over the next couple of weeks, she received a call yesterday to say that her case was waiting at Heathrow. We went down to collect it immediately - as per normal at Johannesburg International, her wrapped suitcase had been opened, the stitching slit and her case rifled through. Fortunately the low life that got in there didn't find anything as he didn't unzip the top compartment. I have the utmost respect for the way in which Ethiopian Airlines assisted us with the return of the case. Brilliant service. In future we will certainly choose them above any of the larger carriers who don't understand the meaning of customer service.",,Solo Leisure,Economy Class,Johannesburg to London via Addis Ababa,March 2020,5.0,5.0,5.0,5.0,5.0,,5,yes
32,ethiopian-airlines,2020-01-09 00:04:00,True,"Beijing to Addis Ababa. I booked a flight through trip.com. I was informed by trip.com that my flight was cancelled due to recent flight restrictions. I phoned trip.com and received the expected answer that my full ticket will be refunded to me, due to the airline cancelling the flight. . I received a email that a third of my ticket price will be taken for cancelation fees and I need to respond within 3 hours to accept this. Neither trip.com nor Ethiopian airlines provided me with a reason therefore. Don't bother using trip.com, book directly through the airline and save on the fees you will have to pay trip.com.",,Solo Leisure,Economy Class,Beijing to Addis Ababa,April 2020,,,,,,,1,no
33,ethiopian-airlines,2020-01-31 00:03:00,True,"Athens to Entebbe via Addis Ababa booked for April. They canceled the flight, and is refusing to refund. They offered an open ticket which does not meet our needs. They claimed that we are not eligible because of the non-Refundable status of the ticket.",,Solo Leisure,Economy Class,Athens to Entebbe via Addis Ababa,March 2020,,,,,,,1,no
34,ethiopian-airlines,2020-01-30 00:03:00,True,"My son and his friend booked tickets to fly from Johannesburg to Chengdu (connecting on to Shenzhen) via Addis Ababa. The departure date was 02 April 2020. South Africa enforced a lockdown from 27 March to 16 April. China enforced a lockdown on 28 March 2020. Despite several attempts to contact the airline locally, we were unsuccessful. Finally after a long, expensive wait, we contacted the call centre in Ethiopia. We were informed that the flight had not been cancelled but as the airline was not allowed to land, there would be no flight. The airline was offering a travel voucher and cancellation with a refund was available with a cancellation fee of USD150 and a no show fee of USD50 with no refund. The difference in airfare would be payable when the voucher was to be used, if applicable. On 27 March we received email notifications for each leg of the flight that the flights were cancelled due to unforeseen circumstances. While it is understandable that the airline would not want to lose money, Ethiopian Airlines are using coercion. Customers have no control over changed flight prices at the point of flying after COVID-19. So if one opted for the travel voucher, a customer may have to pay more for a ticket. Should one opt to cancel, the customer would have to pay USD150.  The fair position would be to either refund the customer with no penalties, as it is not the customer’s fault, or to offer the voucher with an assurance that there will be no price difference to be paid later.",,Couple Leisure,Economy Class,Johannesburg to Chengdu via Addis Ababa,March 2020,,,,,,,1,no
35,ethiopian-airlines,2020-01-19 00:03:00,True,Djibouti to Addis Ababa. Every thing was alright but only one type food was provided at the economy class. Considering the fasting months in Ethiopia orthodox Christian and vegan customers preferences only chicken sandwich is not enough option and this can’t reflect the flagship airline standards. I hope the management team will consider this. I wish you all best in this critical time of covid19 .,Boeing 737-800,Business,Economy Class,Djibouti to Addis Ababa,March 2020,5.0,4.0,2.0,5.0,5.0,1.0,4,yes
36,ethiopian-airlines,2020-01-24 00:02:00,True,"I was very disappointed with the ground service. The staff didn't have the correct information about my flight and that of my children. They marked our tickets as used and confirmed that our flight had reached the destinations when in fact we were all held back. I was in transit in Addis and the kids were held back in Bujumbura due to bad weather conditions instead of landing in Kigali as planned, I understand a flight not reaching its destination but I don't understand why the company chose to withhold this information especially from a parent or give me the wrong info altogether, I cannot tell you how much panic this misinformation caused. The ground staff acted like we the clients were bothering them every time we asked for information. I asked a lady if she could make a simple phone call to their office in Kigali or to immigration to at least confirm if their passports had been recorded in the system and I wasn't granted even that. Do better.",,Family Leisure,Economy Class,Cape Town to Lubumbashi via Addis Ababa,February 2020,3.0,4.0,3.0,3.0,1.0,3.0,2,no
37,ethiopian-airlines,2020-01-23 00:02:00,True,"Buenos Aires to Manila via Addis Ababa. I was  expecting the worst, but I got surprised, as the flights were very pleasant, the staff was very nice. They gave us lots of food and things like blankets, toothbrush and paste, socks, eyes cover, and considering I've had longer flights with more expensive airlines that did not provide any of these, I found it very nice. The only thing to point out is that in my second flight the screens wouldn't work, I asked for help to one of the members of the crew but she never came back.",,Solo Leisure,Economy Class,Buenos Aires to Manila via Addis Ababa,February 2020,3.0,4.0,5.0,3.0,5.0,,5,yes
